Sales Summary Export,,,,,,,Generated 5/19/23 8:26 PM,
1/24/23 - 1/24/23,,,,,,,Common Good Bakery - 1115 E. 8th Street - 8th St.,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,"$2,086.65",$65.93,$0.00,$209.92,$725.00,"$3,087.50",,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,128,129,201,$0.00,$20.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,76,2345.02,209.92,0,0.100287882753206,0,2554.94
,Gift Card,17,140.5,0,0,0,,140.5
,Cash,34,392.06,0,0,0,,392.06
,Other,,,,,,,
,Total,127,2877.58,209.92,0,0.0945095508412222,0,3087.5
,,,,,,,,
,Credit Types,,,,,,,
,Amex,9,268.98,27.67,0,0.105409523809524,,296.65
,Discover,1,5.83,0.82,0,0.149090909090909,,6.65
,Mastercard,22,552.35,23.92,0,0.0813936249073388,0,576.27
,Visa,44,1517.86,157.51,0,0.10606734006734,,1675.37
,,,,,,,,
,Alternate Payment Types,,,,,,,
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Breads,42,63,441,91.5,349.5,0,
,Breakfast Pastry,51,99,517,45,472,0,
,Breakfast Sandwiches,15,24,335,27,308,18.48,
,Cakes,,,,,,,
,Catering,,,,,,,
,Coffee Bar,40,62,277.15,8.34,268.81,16.13,
,Cold Drinks,7,8,35.5,4.1,31.4,0,
,Cold Sandwiches,,,,,,,
,"Cookies, Bars & Tarts",20,34,141,6,135,0,
,Hot Sandwiches,28,35,541,19.06,521.94,31.32,
,Holiday Menus,,,,,,,
,Grocery,,,,,,,
,Merchandise,,,,,,,
,Wholesale,,,,,,,
,Soup,,,,,,,
,White Wine,,,,,,,
,Beer,,,,,,,
,Salads,,,,,,,
,Toasts & Tartines,,,,,,,
,Pizza,,,,,,,
,Red Wine,,,,,,,
,No Category,0,,,,0,0,
,Total,,,2287.65,201,2086.65,65.93 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Dining Room,,,,,,,
,Bar,,,,,,,
,Online Ordering,4,10,113.5,0,113.5,5.97,
,No Revenue Center,119,315,2174.15,201,1973.15,59.96,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Dine In,34,789.25,,,,,
,Takeout,95,1297.4,,,,,
,None,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,Prepared Food,,65.93,1098.75,,,,
,Non Taxable,96,,987.9,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,$2 Bread Club Baguette,8,24,,,,,
,Rebel Bread Club Loaf,14,35.5,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,Pastry Waste,1,33,,,,,
,Reward Dollars,2,12.8,,,,,
,Shift Meal,2,94.1,,,,,
,Team- 20%,1,1.6,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Hours,44,$707.40,,,,,
,Lunch,76,"$1,172.75",,,,,
,No Service,9,$206.50,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$10.00,1,1,0.5%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$392.06,,,,,
,Cash Adjustments,,$2.37,,,,,
,Cash before Tipouts,,$394.43,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$209.92,,,,,
,Total Cash,,$394.43,,,,,
