Sales Summary Export,,,,,,,Generated 5/19/23 6:47 PM,
1/20/23 - 1/20/23,,,,,,,Common Good @ Night,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,"$3,312.20",$194.56,$0.00,$555.05,$0.00,"$4,061.81",,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,77,74,49.9,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,71,3483.51,555.05,0,0.168370442273858,,4038.56
,Cash,4,23.25,0,0,0,,23.25
,Other,,,,,,,
,Total,75,3506.76,555.05,0,0.168370442273858,,4061.81
,,,,,,,,
,Credit Types,,,,,,,
,Amex,8,520.03,95.28,0,0.194013439218082,,615.31
,Discover,1,65.29,15.18,0,0.22,,80.47
,Mastercard,22,1028.31,164.48,0,0.169479649665121,,1192.79
,Visa,40,1869.88,280.11,0,0.15861268403171,,2149.99
,,,,,,,,
,Alternate Payment Types,,,,,,,
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Three Course Dinner,,,,,,,
,Restaurant Week,,,,,,,
,Breads,4,4,39,1,38,0.72,
,Desserts,8,11,58,0,58,3.48,
,Grab and Go Bar,,,,,,,
,Cold Drinks,8,11,49.6,0,49.6,3,
,Coffee Bar,2,2,7.5,0,7.5,0.45,
,Zero Proof- Bar,3,6,70,0,70,4.2,
,Entrees,2,2,58,0,58,3.48,
,Starters,25,40,431,3,428,25.68,
,White Wine,8,8,142,0,142,8.52,
,Red Wine,9,11,183,0,183,10.98,
,Beer,28,52,301,0,301,18.06,
,Spirits,10,15,223,0,223,13.38,
,Salads,20,24,290,24,266,15.96,
,Pasta,10,14,275,19,256,15.36,
,Pizza,35,44,1191,2.9,1188.1,71.29,
,No Category,7,10,44,0,44,0,
,Total,,,3362.1,49.9,3312.2,194.56 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Dining Room,17,102,1304.3,37.9,1266.4,75.46,
,Bar,30,111,1486.3,12,1474.3,87.21,
,Online Ordering,,,,,,,
,No Revenue Center,27,41,571.5,0,571.5,31.89,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Dine In,67,3088.2,,,,,
,Take Out,7,224,,,,,
,None,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,MI STATE TAX,,194.56,3242.2,,,,
,Non Taxable,12,,70,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,Comp Item,3,43,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,Munson Discount- 10%,1,6.9,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Happy Hour,12,$497.50,,,,,
,Dinner,62,"$2,814.70",,,,,
,No Service,0,$0.00,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$0.00,0,0,0.0%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$23.25,,,,,
,Cash Adjustments,,$0.00,,,,,
,Cash before Tipouts,,$23.25,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$555.05,,,,,
,Total Cash,,$23.25,,,,,
