Sales Summary Export,,,,,,,Generated 5/19/23 8:29 PM,
2/1/23 - 2/1/23,,,,,,,Common Good @ Night,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,"$1,414.30",$78.41,$0.00,$217.98,$50.00,"$1,760.69",,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,57,51,60.2,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,40,1373.97,217.98,0,0.165633263426644,,1591.95
,Gift Card,6,95.6,0,0,0,,95.6
,Cash,4,73.14,0,0,0,,73.14
,Other,,,,,,,
,Total,50,1542.71,217.98,0,0.154475232088442,,1760.69
,,,,,,,,
,Credit Types,,,,,,,
,Amex,1,39.86,0,0,0,,39.86
,Discover,2,19.08,1,0,0.0476190476190476,,20.08
,Mastercard,15,562.95,86.67,0,0.161848739495798,,649.62
,Visa,22,752.08,130.31,0,0.182624660145192,,882.39
,,,,,,,,
,Alternate Payment Types,,,,,,,
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Three Course Dinner,,,,,,,
,Restaurant Week,,,,,,,
,Breads,9,13,124,16.4,107.6,0,
,Desserts,4,6,37,0,37,2.22,
,Grab and Go Bar,,,,,,,
,Cold Drinks,4,7,33,2,31,1.86,
,Coffee Bar,,,,,,,
,Zero Proof- Bar,5,7,75,1,74,4.44,
,Entrees,2,2,58,0,58,3.48,
,Starters,11,19,203,27,176,10.56,
,White Wine,3,4,48,0,48,2.88,
,Red Wine,2,2,58,0,58,3.48,
,Beer,14,22,126,2.4,123.6,7.42,
,Spirits,2,2,30,3,27,1.62,
,Salads,5,6,92,2.19,89.81,5.39,
,Pasta,9,14,268,6.21,261.79,15.71,
,Pizza,11,11,322.5,0,322.5,19.35,
,No Category,0,,,,0,0,
,Total,,,1474.5,60.2,1414.3,78.41 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Dining Room,17,58,742,0,742,44.52,
,Bar,7,22,347.5,8.4,339.1,20.35,
,Online Ordering,1,2,45,0,45,2.7,
,No Revenue Center,21,33,340,51.8,288.2,10.84,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Dine In,44,1261.3,,,,,
,Takeout,3,45,,,,,
,Take Out,4,108,,,,,
,None,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,MI STATE TAX,,78.41,1306.7,,,,
,Non Taxable,10,,107.6,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,Baguette- Rebel Bread,1,2,,,,,
,Mistake Discount,1,2.4,,,,,
,Rebel Bread Loaf,3,10,,,,,
,Team Dining - Off Shift,1,3,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,Reward Dollars,1,8.4,,,,,
,Shift Meal,1,27,,,,,
,Teacher/School- 20%,1,2,,,,,
,Team Discount - 20%,2,5.4,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Happy Hour,11,$265.00,,,,,
,Dinner,35,"$1,107.60",,,,,
,No Service,5,$41.70,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$206.00,4,10,14.6%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$73.14,,,,,
,Cash Adjustments,,$0.00,,,,,
,Cash before Tipouts,,$73.14,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$217.98,,,,,
,Total Cash,,$73.14,,,,,
