Sales Summary Export,,,,,,,Generated 5/17/23 8:17 PM,
5/4/23 - 5/4/23,,,,,,,Common Good @ Night,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,"$1,062.48",$62.25,$0.00,$184.86,$0.00,"$1,309.59",,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,25,20,13.52,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,18,1081.11,184.86,0,0.17954022318697,,1265.97
,Gift Card,1,15,0,0,0,,15
,Cash,3,28.62,0,0,0,,28.62
,Other,,,,,,,
,Total,22,1124.73,184.86,0,0.177068965517241,,1309.59
,,,,,,,,
,Credit Types,,,,,,,
,Amex,2,127.2,24,0,0.2,,151.2
,Mastercard,4,222.3,34,0,0.161420500403551,,256.3
,Visa,12,731.61,126.86,0,0.181487839771102,,858.47
,,,,,,,,
,Alternate Payment Types,,,,,,,
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Three Course Dinner,1,3,75,0,75,4.5,
,Restaurant Week,,,,,,,
,Breads,1,2,20,5,15,0,
,Desserts,2,3,36,0,36,2.16,
,Grab and Go Bar,,,,,,,
,Cold Drinks,5,10,48,0,48,2.28,
,Coffee Bar,1,1,4,0,4,0.24,
,Zero Proof- Bar,1,1,13,0,13,0.78,
,Entrees,2,3,87,0,87,5.22,
,Starters,8,10,117,0,117,7.02,
,White Wine,3,3,36,0,36,2.16,
,Red Wine,3,4,65,0,65,3.9,
,Beer,6,8,52,0,52,3.12,
,Spirits,,,,,,,
,Salads,6,7,105,0,105,6.3,
,Pasta,3,3,52,0,52,3.12,
,Pizza,12,14,366,8.52,357.48,21.45,
,No Category,0,,,,0,0,
,Total,,,1076,13.52,1062.48,62.25 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Dining Room,8,41,587,0,587,34.62,
,Bar,4,13,178,0,178,10.68,
,Online Ordering,2,2,54,8.52,45.48,2.73,
,No Revenue Center,6,16,257,5,252,14.22,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Dine In,16,932,,,,,
,Takeout,4,130.48,,,,,
,None,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,MI STATE TAX,,62.25,1037.48,,,,
,Non Taxable,3,,25,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,Rebel Bread,2,5,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,Reward Dollars,1,8.52,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Happy Hour,6,$203.00,,,,,
,Dinner,14,$859.48,,,,,
,No Service,0,$0.00,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$0.00,0,0,0.0%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$28.62,,,,,
,Cash Adjustments,,$0.00,,,,,
,Cash before Tipouts,,$28.62,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$184.86,,,,,
,Total Cash,,$28.62,,,,,
