Sales Summary Export,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Generated 5/23/23 12:29 AM,Unnamed: 8
3/28/23 - 3/28/23,,,,,,,Common Good Bakery - 1115 E. 8th Street - 8th St.,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,"$1,579.95",$42.92,$0.00,$154.40,$200.00,"$1,977.27",,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,132,84,258.35,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,56,1308.96,154.4,0,0.12114079479031815,,1463.36
,Gift Card,16,193.37,0,0,0,,193.37
,Cash,13,332.54,0,0,0,,332.54
,Other,,,,,,,
,Total,85,1834.87,154.4,0,0.10518069416533261,,1989.27
,,,,,,,,
,Credit Types,,,,,,,
,Amex,2,28.96,3.2,0,0.1142857142857143,,32.16
,Discover,3,44.33,8.21,0,0.1929494712103408,,52.54
,Mastercard,25,565.2,62.52,0,0.11385904206883993,,627.72
,Visa,26,670.47,80.47,0,0.12287372117880593,,750.94
,,,,,,,,
,Alternate Payment Types,,,,,,,
,,,,,,,,
,,,,,,,Paid In Total,$12.00
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Breads,24,58,313,63.27,249.73,0,
,Breakfast Pastry,32,80,507,150,357,0,
,Breakfast Sandwiches,12,15,206,0,206,12.36,
,Cakes,,,,,,,
,Catering,,,,,,,
,Coffee Bar,29,38,187.1,9.45,177.65,10.66,
,Cold Drinks,18,26,121.2,4.1,117.1,5.62,
,Cold Sandwiches,,,,,,,
,"Cookies, Bars & Tarts",26,42,236,1.53,234.47,0,
,Hot Sandwiches,11,17,268,30,238,14.28,
,Holiday Menus,,,,,,,
,Grocery,,,,,,,
,Merchandise,,,,,,,
,Wholesale,,,,,,,
,Salads,,,,,,,
,Red Wine,,,,,,,
,White Wine,,,,,,,
,Beer,,,,,,,
,Spirits,,,,,,,
,Pizza,,,,,,,
,Soup,,,,,,,
,Toasts & Tartines,,,,,,,
,No Category,0,,,,0,0,
,Total,,,1838.3,258.35,1579.95,42.92 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Dining Room,,,,,,,
,Bar,,,,,,,
,Online Ordering,3,7,80.15,0,80.15,4.82,
,No Revenue Center,78,269,1758.15,258.35,1499.8,38.1,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Dine In,25,609.8,,,,,
,Takeout,59,970.15,,,,,
,,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,Prepared Food,,42.92,714.75,,,,
,Non Taxable,62,,865.2,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,$2 Bread Club Baguette,3,8,,,,,
,Rebel Bread,18,54,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,Birthday Rewards,1,5,,,,,
,Pastry Waste,1,137,,,,,
,Reward Dollars,1,14.25,,,,,
,Shift Meal,1,40.1,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Hours,27,$461.95,,,,,
,Dinner,8,$100.20,,,,,
,Lunch,44,$933.80,,,,,
,No Service,5,$84.00,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$21.00,1,3,1.3%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$332.54,,,,,
,Cash Adjustments,,$0.00,,,,,
,Cash before Tipouts,,$332.54,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$154.40,,,,,
,Total Cash,,$332.54,,,,,
