Sales Summary Export,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Generated 5/23/23 12:24 AM,Unnamed: 8
3/19/23 - 3/19/23,,,,,,,Common Good @ Night,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,"$1,260.75",$75.05,$0.00,$168.92,$0.00,"$1,504.72",,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,20,18,31.25,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,16,1235.7,168.92,0,0.1433955857385399,,1404.62
,Gift Card,1,10,0,0,0,,10
,Cash,,,,,,,
,Other,,,,,,,
,Total,17,1245.7,168.92,0,0.14218855218855217,,1414.62
,,,,,,,,
,Credit Types,,,,,,,
,Amex,3,244.86,46.2,0,0.2,,291.06
,Discover,2,145.22,30.4,0,0.2218978102189781,,175.62
,Mastercard,3,359.87,29.6,0,0.08718703976435936,,389.47
,Visa,8,485.75,62.72,0,0.13330499468650372,,548.47
,,,,,,,,
,Alternate Payment Types,,,,,,,
,,,,,,,,
,,,,,,,Deposit Sales Collected,$90.10
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Three Course Dinner,,,,,,,
,Restaurant Week,3,7,195,0,195,11.7,
,Breads,1,1,10,0,10,0,
,Desserts,1,2,22,3.08,18.92,1.14,
,Grab and Go Bar,,,,,,,
,Cold Drinks,1,1,5,0,5,0.3,
,Coffee Bar,,,,,,,
,Zero Proof- Bar,,,,,,,
,Entrees,,,,,,,
,Starters,6,9,98,0,98,5.88,
,White Wine,1,1,12,0,12,0.72,
,Red Wine,1,4,48,0,48,2.88,
,Beer,6,9,58,0,58,3.48,
,Spirits,2,2,28,0,28,1.68,
,Salads,5,6,90,19,71,4.26,
,Pasta,7,11,207,0,207,12.42,
,Pizza,8,18,519,9.17,509.83,30.59,
,No Category,0,,,,0,0,
,Total,,,1292,31.25,1260.75,75.05 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Dining Room,5,28,471,0,471,28.26,
,Bar,4,21,292,0,292,17.52,
,Online Ordering,4,15,386,12.25,373.75,22.43,
,No Revenue Center,5,7,143,19,124,6.84,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Dine In,12,795,,,,,
,Takeout,4,373.75,,,,,
,Take Out,2,92,,,,,
,,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,MI STATE TAX,,75.05,1250.75,,,,
,Non Taxable,2,,10,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,Reward Dollars,1,12.25,,,,,
,Shift Meal,1,19,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Happy Hour,2,$100.00,,,,,
,Dinner,16,"$1,160.75",,,,,
,No Service,0,$0.00,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$40.00,1,2,3.2%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$0.00,,,,,
,Cash Adjustments,,$0.00,,,,,
,Cash before Tipouts,,$0.00,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$168.92,,,,,
,Total Cash,,$0.00,,,,,
