Sales Summary Export,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Generated 5/22/23 6:40 PM,Unnamed: 8
3/9/23 - 3/9/23,,,,,,,Common Good Bakery - 537 W. 14th Street - 14th St.,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,"$1,950.58",$5.66,$0.00,$59.53,$315.00,"$2,330.77",,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,78,84,485.4,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,28,832.53,60.08,0,0.07127773164076402,,892.61
,Gift Card,28,231,0,0,0,,231
,Cash,22,413.13,0,0,0,,413.13
,Other,1,785.58,0,0,0,,785.58
,Total,79,2262.24,60.08,0,0.03231010820229311,,2322.32
,,,,,,,,
,Credit Types,,,,,,,
,Amex,3,84,0,0,0,,84
,Mastercard,12,499.12,49.45,0,0.09712265540606894,,548.57
,Visa,13,249.41,10.63,0,0.042562562562562564,,260.04
,,,,,,,,
,Alternate Payment Types,,,,,,,
,Wholesale Close Out,1,785.58,0,0,0,,785.58
,,,,,,,,
,,,,,,,Paid In Total,$51.75
,,,,,,,,
,,,,,,,Deposit Sales Collected,$60.20
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Soup,1,2,14,0,14,0.84,
,Wholesale,1,300,785.58,0,785.58,0,
,Grocery,,,,,,,
,Candy,,,,,,,
,Breakfast Pastry,30,96,605,151.4,453.6,0,
,"Cookies, Bars & Tarts",11,27,124,60,64,0,
,Cakes,2,2,93,8,85,0,
,Holiday Menus,,,,,,,
,Hot Sandwiches,3,4,62,16,46,2.76,
,Cold Sandwiches,,,,,,,
,Salads,,,,,,,
,Pizza,,,,,,,
,Merchandise,,,,,,,
,Breakfast Sandwiches,6,6,84,4.66,79.34,0,
,Cold Drinks,2,3,13.2,5,8.2,0,
,Catering,,,,,,,
,Coffee Bar,7,7,35.7,1.34,34.36,2.06,
,Breads,44,90,619.5,239,380.5,0,
,No Category,0,,,,0,0,
,Total,,,2435.98,485.4,1950.58,5.66 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,No Revenue Center,80,537,2435.98,485.4,1950.58,5.66,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Dine-In,1,52,,,,,
,Future Orders,5,150,,,,,
,Takeout,78,1748.58,,,,,
,,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,Prepared Food,,5.66,94.36,,,,
,Non Taxable,79,,1856.22,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,$2 Bread Club Baguette,5,10,,,,,
,Rebel Bread,21,61,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,Bread Waste,1,144,,,,,
,Pastry Waste,1,200,,,,,
,Reward Dollars,3,22,,,,,
,Shift Meal,1,39,,,,,
,Teachers 20%,1,1.4,,,,,
,Team 20%,1,8,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Hours,81,"$1,135.00",,,,,
,No Service,3,$815.58,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$4.00,1,1,0.2%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$413.13,,,,,
,Cash Adjustments,,$1.11,,,,,
,Cash before Tipouts,,$414.24,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$60.08,,,,,
,Total Cash,,$414.24,,,,,
