Sales Summary Export,,,,,,,Generated 5/19/23 8:28 PM,
1/31/23 - 1/31/23,,,,,,,Common Good @ Night,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,$5.00,$0.30,$0.00,$0.00,$0.00,$5.30,,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,1,1,0,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,1,5.3,0,0,0,,5.3
,Cash,,,,,,,
,Other,,,,,,,
,Total,1,5.3,0,0,0,,5.3
,,,,,,,,
,Credit Types,,,,,,,
,Visa,1,5.3,0,0,0,,5.3
,,,,,,,,
,Alternate Payment Types,,,,,,,
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Three Course Dinner,,,,,,,
,Restaurant Week,,,,,,,
,Breads,,,,,,,
,Desserts,,,,,,,
,Grab and Go Bar,,,,,,,
,Cold Drinks,,,,,,,
,Coffee Bar,,,,,,,
,Zero Proof- Bar,,,,,,,
,Entrees,,,,,,,
,Starters,,,,,,,
,White Wine,,,,,,,
,Red Wine,,,,,,,
,Beer,1,1,5,0,5,0.3,
,Spirits,,,,,,,
,Salads,,,,,,,
,Pasta,,,,,,,
,Pizza,,,,,,,
,No Category,0,,,,0,0,
,Total,,,5,0,5,0.30 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Dining Room,,,,,,,
,Bar,,,,,,,
,Online Ordering,,,,,,,
,No Revenue Center,1,1,5,0,5,0.3,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Dine In,1,5,,,,,
,None,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,MI STATE TAX,,0.3,5,,,,
,Non Taxable,0,,0,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Happy Hour,0,$0.00,,,,,
,Dinner,0,$0.00,,,,,
,No Service,1,$5.00,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$0.00,0,0,0.0%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$0.00,,,,,
,Cash Adjustments,,$0.00,,,,,
,Cash before Tipouts,,$0.00,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$0.00,,,,,
,Total Cash,,$0.00,,,,,
