Sales Summary Export,,,,,,,Generated 5/17/23 7:25 PM,
5/2/23 - 5/2/23,,,,,,,Common Good @ Night,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,"$1,113.95",$66.39,$0.00,$233.08,$0.00,"$1,413.42",,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,22,17,0,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,18,1083.88,214.88,0,0.210059142675595,,1298.76
,Cash,,,,,,,
,Other,,,,,,,
,Total,18,1083.88,214.88,0,0.210059142675595,,1298.76
,,,,,,,,
,Credit Types,,,,,,,
,Amex,1,308.19,70,0,0.240549828178694,,378.19
,Mastercard,8,344.27,70.05,0,0.215571626404062,,414.32
,Visa,9,431.42,74.83,0,0.183857493857494,,506.25
,,,,,,,,
,Alternate Payment Types,,,,,,,
,,,,,,,,
,,,,,,,Deposit Sales Collected,$114.66
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Three Course Dinner,1,2,70,0,70,4.2,
,Restaurant Week,,,,,,,
,Breads,2,5,7.5,0,7.5,0,
,Desserts,2,3,34,0,34,2.04,
,Grab and Go Bar,,,,,,,
,Cold Drinks,2,3,12,0,12,0.72,
,Coffee Bar,2,3,18.45,0,18.45,1.11,
,Zero Proof- Bar,,,,,,,
,Entrees,3,4,116,0,116,6.96,
,Starters,5,8,115,0,115,6.9,
,White Wine,5,10,120,0,120,7.2,
,Red Wine,3,3,53,0,53,3.18,
,Beer,2,2,13,0,13,0.78,
,Spirits,2,3,49,0,49,2.94,
,Salads,6,6,91,0,91,5.46,
,Pasta,7,12,208,0,208,12.48,
,Pizza,6,7,207,0,207,12.42,
,No Category,0,,,,0,0,
,Total,,,1113.95,0,1113.95,66.39 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Dining Room,10,28,553.95,0,553.95,33.24,
,Bar,4,38,498,0,498,29.43,
,Online Ordering,,,,,,,
,No Revenue Center,3,5,62,0,62,3.72,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Dine In,16,1098.95,,,,,
,Takeout,1,15,,,,,
,None,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,MI STATE TAX,,66.39,1106.45,,,,
,Non Taxable,2,,7.5,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Happy Hour,3,$62.00,,,,,
,Dinner,14,"$1,051.95",,,,,
,No Service,0,$0.00,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$36.00,1,3,3.2%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$0.00,,,,,
,Cash Adjustments,,$0.00,,,,,
,Cash before Tipouts,,$0.00,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$214.88,,,,,
,Total Cash,,$0.00,,,,,
