Sales Summary Export,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Generated 5/22/23 6:15 PM,Unnamed: 8
2/9/23 - 2/9/23,,,,,,,Common Good @ Night,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,"$1,030.64",$58.21,$0.00,$154.40,$100.00,"$1,343.25",,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,29,28,74.86,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,21,1072.03,154.4,0,0.15056070209653827,,1226.43
,Gift Card,4,106.82,0,0,0,,106.82
,Cash,1,10,0,0,0,,10
,Other,,,,,,,
,Total,26,1188.85,154.4,0,0.13687943262411348,,1343.25
,,,,,,,,
,Credit Types,,,,,,,
,Amex,5,188.76,34.2,0,0.1848648648648649,,222.96
,Mastercard,7,467.99,67.78,0,0.1535220838052095,,535.77
,Visa,9,415.28,52.42,0,0.13137844611528823,,467.7
,,,,,,,,
,Alternate Payment Types,,,,,,,
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Three Course Dinner,,,,,,,
,Restaurant Week,,,,,,,
,Breads,6,7,70,9.5,60.5,0,
,Desserts,2,2,24,0,24,1.44,
,Grab and Go Bar,,,,,,,
,Cold Drinks,3,4,19,0,19,1.14,
,Coffee Bar,1,1,3.5,0,3.5,0.21,
,Zero Proof- Bar,1,1,13,0,13,0.78,
,Entrees,,,,,,,
,Starters,8,10,134,0,134,8.04,
,White Wine,2,3,53,29,24,1.44,
,Red Wine,6,7,152,29,123,7.38,
,Beer,3,4,23,1,22,1.32,
,Spirits,,,,,,,
,Salads,3,3,42,2.07,39.93,2.4,
,Pasta,6,8,144,0,144,8.64,
,Pizza,12,16,428,4.29,423.71,25.42,
,No Category,0,,,,0,0,
,Total,,,1105.5,74.86,1030.64,58.21 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Dining Room,4,18,314,0,314,18.84,
,Bar,7,20,293.5,1,292.5,17.55,
,Online Ordering,3,6,103,6.36,96.64,5.8,
,No Revenue Center,12,22,395,67.5,327.5,16.02,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Dine In,21,717,,,,,
,Takeout,3,96.64,,,,,
,Take Out,4,217,,,,,
,,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,MI STATE TAX,,58.21,970.14,,,,
,Non Taxable,7,,60.5,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,Mistake Discount,1,2,,,,,
,Rebel Bread,3,7.5,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,Reward Dollars,2,64.36,,,,,
,Team 20%,1,1,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Happy Hour,10,$274.00,,,,,
,Dinner,16,$749.14,,,,,
,No Service,2,$7.50,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$5.00,1,1,0.5%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$10.00,,,,,
,Cash Adjustments,,$0.00,,,,,
,Cash before Tipouts,,$10.00,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$154.40,,,,,
,Total Cash,,$10.00,,,,,
