Sales Summary Export,,,,,,,Generated 5/17/23 8:17 PM,
5/3/23 - 5/3/23,,,,,,,Common Good @ Night,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,$701.60,$41.80,$0.00,$119.77,$80.00,$943.17,,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,24,14,1.4,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,15,687.72,119.77,0,0.182854961832061,,807.49
,Cash,2,135.68,0,0,0,,135.68
,Other,,,,,,,
,Total,17,823.4,119.77,0,0.182854961832061,,943.17
,,,,,,,,
,Credit Types,,,,,,,
,Amex,2,106.5,6.25,0,0.0595238095238095,,112.75
,Discover,2,113.42,21.4,0,0.2,,134.82
,Mastercard,5,214.88,39.87,0,0.1964039408867,,254.75
,Visa,6,252.92,52.25,0,0.217708333333333,,305.17
,,,,,,,,
,Alternate Payment Types,,,,,,,
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Three Course Dinner,1,2,50,0,50,3,
,Restaurant Week,,,,,,,
,Breads,,,,,,,
,Desserts,2,2,24,0,24,1.44,
,Grab and Go Bar,,,,,,,
,Cold Drinks,3,5,28,0,28,1.38,
,Coffee Bar,,,,,,,
,Zero Proof- Bar,,,,,,,
,Entrees,1,1,29,0,29,1.74,
,Starters,4,5,65,0,65,3.9,
,White Wine,,,,,,,
,Red Wine,2,2,49,0,49,2.94,
,Beer,6,15,95,1.4,93.6,5.62,
,Spirits,1,2,30,0,30,1.8,
,Salads,2,2,24,0,24,1.44,
,Pasta,4,6,97,0,97,5.82,
,Pizza,7,8,212,0,212,12.72,
,No Category,0,,,,0,0,
,Total,,,703,1.4,701.6,41.80 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Dining Room,6,29,338,0,338,20.28,
,Bar,4,13,213,1.4,211.6,12.7,
,Online Ordering,1,3,42,0,42,2.22,
,No Revenue Center,2,5,110,0,110,6.6,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Dine In,12,580.6,,,,,
,Takeout,2,121,,,,,
,None,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,MI STATE TAX,,41.8,696.6,,,,
,Non Taxable,1,,5,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,Team 20%,1,1.4,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Happy Hour,2,$101.00,,,,,
,Dinner,11,$570.60,,,,,
,No Service,1,$30.00,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$32.00,2,3,4.6%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$135.68,,,,,
,Cash Adjustments,,-$8.82,,,,,
,Cash before Tipouts,,$126.86,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$119.77,,,,,
,Total Cash,,$126.86,,,,,
