Sales Summary Export,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Generated 5/22/23 6:19 PM,Unnamed: 8
2/17/23 - 2/17/23,,,,,,,Common Good Bakery - 1115 E. 8th Street - 8th St.,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,"$1,609.25",$30.54,$0.00,$172.10,$200.00,"$2,011.89",,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,107,110,610.6,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,61,1397.71,166.24,0,0.11916418766352462,,1563.95
,Gift Card,12,120.5,0,0,0,,120.5
,Cash,29,297.98,0,0,0,,297.98
,Other,,,,,,,
,Total,102,1816.19,166.24,0,0.1096895516479166,,1982.43
,,,,,,,,
,Credit Types,,,,,,,
,Amex,3,59.96,3.4,0,0.0576271186440678,,63.36
,Discover,1,11.02,0,0,0,,11.02
,Mastercard,21,512.13,64.35,0,0.12549975621647977,,576.48
,Visa,36,814.6,98.49,0,0.12154757497223251,,913.09
,,,,,,,,
,Alternate Payment Types,,,,,,,
,,,,,,,,
,,,,,,,Deposit Sales Collected,$29.46
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Breads,36,70,420.5,100.75,319.75,0,
,Breakfast Pastry,50,150,780,284.03,495.97,0,
,Breakfast Sandwiches,10,15,204,74.76,129.24,7.75,
,Cakes,2,2,66,0,66,0,
,Catering,,,,,,,
,Coffee Bar,31,37,170.65,12.92,157.73,9.47,
,Cold Drinks,8,10,43.7,21.56,22.14,0,
,Cold Sandwiches,,,,,,,
,"Cookies, Bars & Tarts",34,58,219,22.58,196.42,0,
,Hot Sandwiches,12,20,316,94,222,13.32,
,Holiday Menus,,,,,,,
,Grocery,,,,,,,
,Merchandise,,,,,,,
,Wholesale,,,,,,,
,Salads,,,,,,,
,Red Wine,,,,,,,
,White Wine,,,,,,,
,Beer,,,,,,,
,Spirits,,,,,,,
,Pizza,,,,,,,
,Soup,,,,,,,
,Toasts & Tartines,,,,,,,
,No Category,0,,,,0,0,
,Total,,,2219.85,610.6,1609.25,30.54 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Dining Room,,,,,,,
,Bar,,,,,,,
,Online Ordering,3,9,84.3,6.6,77.7,3.42,
,No Revenue Center,102,353,2135.55,604,1531.55,27.12,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Dine In,15,221.08,,,,,
,Takeout,95,1388.17,,,,,
,,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,Prepared Food,,30.54,508.97,,,,
,Non Taxable,92,,1100.28,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,$2 Bread Club Baguette,3,6,,,,,
,Comp Item,5,51.1,,,,,
,Rebel Bread,13,36.5,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,Bread Waste,1,7,,,,,
,Pastry Waste,1,244,,,,,
,Reward Dollars,5,44.8,,,,,
,Shift Meal,1,213.6,,,,,
,Teachers 20%,1,3,,,,,
,Team 20%,1,2.6,,,,,
,Veteran 20%,1,2,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Hours,28,$447.55,,,,,
,Dinner,10,$79.00,,,,,
,Lunch,64,$981.55,,,,,
,No Service,8,$101.15,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$40.50,5,6,2.5%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$297.98,,,,,
,Cash Adjustments,,$10.76,,,,,
,Cash before Tipouts,,$308.74,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$166.24,,,,,
,Total Cash,,$308.74,,,,,
