Sales Summary Export,,,,,,,Generated 5/19/23 6:47 PM,
1/19/23 - 1/19/23,,,,,,,Common Good Bakery - 1115 E. 8th Street - 8th St.,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,"$1,671.60",$37.28,$0.00,$177.37,$400.00,"$2,286.25",,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,110,110,103.7,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,69,1709.88,180.37,0,0.105905632016534,,1890.25
,Gift Card,12,106.6,4.8,0,0.0451424809555158,,111.4
,Cash,28,331.4,0,0,0,,331.4
,Other,,,,,,,
,Total,109,2147.88,185.17,0,0.102334963662992,,2333.05
,,,,,,,,
,Credit Types,,,,,,,
,Amex,8,197.92,30.9,0,0.149203283437953,,228.82
,Mastercard,25,603.59,75.79,0,0.127603333613941,,679.38
,Visa,36,908.37,73.68,0,0.081678805414214,,982.05
,,,,,,,,
,Alternate Payment Types,,,,,,,
,,,,,,,,
,,,,,,,Paid In Total,$46.80
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Breads,35,61,364,50.24,313.76,0,
,Breakfast Pastry,42,104,529,19.26,509.74,0,
,Breakfast Sandwiches,12,15,210,15,195,11.7,
,Cakes,,,,,,,
,Catering,,,,,,,
,Coffee Bar,23,29,120.7,3,117.7,7.05,
,Cold Drinks,6,8,34.6,0,34.6,0,
,Cold Sandwiches,,,,,,,
,"Cookies, Bars & Tarts",28,58,205,13,192,0,
,Hot Sandwiches,14,20,312,3.2,308.8,18.53,
,Holiday Menus,,,,,,,
,Grocery,,,,,,,
,Merchandise,,,,,,,
,Wholesale,,,,,,,
,Soup,,,,,,,
,White Wine,,,,,,,
,Beer,,,,,,,
,Salads,,,,,,,
,Toasts & Tartines,,,,,,,
,Pizza,,,,,,,
,Red Wine,,,,,,,
,No Category,0,,,,0,0,
,Total,,,1775.3,103.7,1671.6,37.28 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Dining Room,,,,,,,
,Bar,,,,,,,
,Online Ordering,2,6,44,14.16,29.84,0.84,
,No Revenue Center,102,289,1731.3,89.54,1641.76,36.44,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Dine In,28,534.75,,,,,
,Takeout,82,1136.85,,,,,
,None,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,Prepared Food,,37.28,621.5,,,,
,Non Taxable,92,,1050.1,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,$2 Bread Club Baguette,5,10,,,,,
,Comp Item,1,3,,,,,
,Rebel Bread Club Loaf,11,29,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,Birthday Rewards,1,5,,,,,
,Reward Dollars,4,27.5,,,,,
,Shift Meal,1,25,,,,,
,Team- 20%,1,4.2,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Hours,33,$608.75,,,,,
,Lunch,66,$954.01,,,,,
,No Service,11,$108.84,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$36.50,4,4,2.2%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$331.40,,,,,
,Cash Adjustments,,$46.69,,,,,
,Cash before Tipouts,,$378.09,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$185.17,,,,,
,Total Cash,,$378.09,,,,,
