Sales Summary Export,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Generated 5/23/23 12:22 AM,Unnamed: 8
3/16/23 - 3/16/23,,,,,,,Common Good Bakery - 537 W. 14th Street - 14th St.,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,"$2,231.47",$12.36,$0.00,$139.79,$400.00,"$2,783.62",,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,106,113,659.33,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,63,1591.37,160.89,0,0.10061599074450454,,1752.26
,Gift Card,34,411,0,0,0,,411
,Cash,16,156.11,0,0,0,,156.11
,Other,1,645.85,0,0,0,,645.85
,Total,114,2804.33,160.89,0,0.06057833502767423,,2965.22
,,,,,,,,
,Credit Types,,,,,,,
,Amex,11,313.36,37.91,0,0.12236927049709488,,351.27
,Mastercard,15,464.31,36.01,0,0.07639758141508432,,500.32
,Visa,37,813.7,86.97,0,0.10633329257855484,,900.67
,,,,,,,,
,Alternate Payment Types,,,,,,,
,Wholesale Close Out,1,645.85,0,0,0,,645.85
,,,,,,,,
,,,,,,,Paid In Total,$265.60
,,,,,,,,
,,,,,,,Deposit Sales Collected,$84.00
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Soup,2,3,39,0,39,2.34,
,Wholesale,1,198,645.85,0,645.85,0,
,Grocery,,,,,,,
,Candy,,,,,,,
,Breakfast Pastry,45,102,727,172.61,554.39,0,
,"Cookies, Bars & Tarts",24,40,204,19.32,184.68,0,
,Cakes,1,1,40,0,40,0,
,Holiday Menus,,,,,,,
,Hot Sandwiches,3,3,48,16,32,1.92,
,Cold Sandwiches,,,,,,,
,Salads,,,,,,,
,Pizza,,,,,,,
,Merchandise,,,,,,,
,Breakfast Sandwiches,9,11,104.5,10.02,94.48,0,
,Cold Drinks,8,10,47,0,47,2.54,
,Catering,,,,,,,
,Coffee Bar,20,22,93.95,1.08,92.87,5.56,
,Breads,53,131,941.5,440.3,501.2,0,
,No Category,0,,,,0,0,
,Total,,,2890.8,659.33,2231.47,12.36 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,No Revenue Center,109,521,2890.8,659.33,2231.47,12.36,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Dine-In,1,24,,,,,
,Future Orders,14,268.92,,,,,
,Takeout,98,1938.55,,,,,
,,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,Prepared Food,,12.36,205.87,,,,
,Non Taxable,104,,2025.6,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,$2 Bread Club Baguette,11,24,,,,,
,Rebel Bread,33,94.5,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,Birthday Rewards,1,5,,,,,
,Bread Waste,1,309,,,,,
,Pastry Waste,1,167,,,,,
,Reward Dollars,2,11.03,,,,,
,Shift Meal,1,46,,,,,
,Teachers 20%,1,2.8,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Hours,112,"$1,585.62",,,,,
,No Service,1,$645.85,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$20.00,1,2,0.9%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$156.11,,,,,
,Cash Adjustments,,$0.08,,,,,
,Cash before Tipouts,,$156.19,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$160.89,,,,,
,Total Cash,,$156.19,,,,,
