Sales Summary Export,,,,,,,Generated 5/19/23 6:45 PM,
1/17/23 - 1/17/23,,,,,,,Common Good @ Night,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,-$60.00,-$3.60,$0.00,$0.00,$0.00,-$63.60,,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,,0,0,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,,,0,,,-63.6,-63.6
,Cash,,,0,,0,,0
,Other,,,,,,,
,Total,,,0,,0,,0
,,,,,,,,
,Credit Types,,,,,,,
,,,,,,,,
,Alternate Payment Types,,,,,,,
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Three Course Dinner,,,,,,,
,Restaurant Week,,,,,,,
,Breads,,,,,,,
,Desserts,,,,,,,
,Grab and Go Bar,,,,,,,
,Cold Drinks,,,,,,,
,Coffee Bar,,,,,,,
,Zero Proof- Bar,,,,,,,
,Entrees,0,0,0,0,-29,-1.74,
,Starters,,,,,,,
,White Wine,,,,,,,
,Red Wine,,,,,,,
,Beer,,,,,,,
,Spirits,,,,,,,
,Salads,0,0,0,0,-12,-0.72,
,Pasta,0,0,0,0,-19,-1.14,
,Pizza,,,,,,,
,No Category,0,,,,0,0,
,Total,,,0,0,-60,-3.60 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Dining Room,,,,,,,
,Bar,,,,,-60,,
,Online Ordering,,,,,,,
,No Revenue Center,0,,,,0,,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Dine In,,-60,,,,,
,None,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,MI STATE TAX,,-3.6,-60,,,,
,Non Taxable,0,,0,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Happy Hour,0,$0.00,,,,,
,Dinner,0,-$60.00,,,,,
,No Service,0,$0.00,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$0.00,0,0,-0.0%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$0.00,,,,,
,Cash Adjustments,,$0.00,,,,,
,Cash before Tipouts,,$0.00,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$0.00,,,,,
,Total Cash,,$0.00,,,,,
