Sales Summary Export,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Generated 5/23/23 12:30 AM,Unnamed: 8
3/30/23 - 3/30/23,,,,,,,Common Good Bakery - 1115 E. 8th Street - 8th St.,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,"$1,521.86",$32.58,$0.00,$146.95,$200.00,"$1,901.39",,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,94,95,154.29,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,55,1337.65,156.55,0,0.11857153677194578,,1494.2
,Gift Card,15,121.5,0,0,0,,121.5
,Cash,23,359.29,0,0,0,,359.29
,Other,,,,,,,
,Total,93,1818.44,156.55,0,0.10857955333610765,,1974.99
,,,,,,,,
,Credit Types,,,,,,,
,Amex,5,124.77,7.27,0,0.056312935708752905,,132.04
,Mastercard,19,407.53,61.49,0,0.15382113821138213,,469.02
,Visa,31,805.35,87.79,0,0.11092298944974414,,893.14
,,,,,,,,
,Alternate Payment Types,,,,,,,
,,,,,,,,
,,,,,,,Paid In Total,$73.60
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Breads,28,65,327,74.18,252.82,0,
,Breakfast Pastry,52,99,624,61.76,562.24,0,
,Breakfast Sandwiches,9,10,143,0,143,8.58,
,Cakes,,,,,,,
,Catering,,,,,,,
,Coffee Bar,24,35,151.45,0.15,151.3,9.07,
,Cold Drinks,9,10,46.7,14.2,32.5,1.61,
,Cold Sandwiches,,,,,,,
,"Cookies, Bars & Tarts",17,33,162,4,158,0,
,Hot Sandwiches,10,14,208,0,208,12.48,
,Holiday Menus,,,,,,,
,Grocery,,,,,,,
,Merchandise,,,,,,,
,Wholesale,,,,,,,
,Salads,,,,,,,
,Red Wine,,,,,,,
,White Wine,,,,,,,
,Beer,1,2,14,0,14,0.84,
,Spirits,,,,,,,
,Pizza,,,,,,,
,Soup,,,,,,,
,Toasts & Tartines,,,,,,,
,No Category,0,,,,0,0,
,Total,,,1676.15,154.29,1521.86,32.58 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Dining Room,,,,,,,
,Bar,,,,,,,
,Online Ordering,,,,,,,
,No Revenue Center,93,268,1676.15,154.29,1521.86,32.58,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Dine In,20,475.15,,,,,
,Takeout,75,1046.71,,,,,
,,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,Prepared Food,,32.58,542.8,,,,
,Non Taxable,79,,979.06,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,$2 Bread Club Baguette,5,12,,,,,
,Bring Your Own Cup,1,0.15,,,,,
,Comp Item,1,14,,,,,
,Rebel Bread,12,34.5,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,Pastry Waste,1,45,,,,,
,Reward Dollars,1,6.44,,,,,
,Shift Meal,2,42.2,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Hours,38,$565.45,,,,,
,Dinner,4,$51.00,,,,,
,Lunch,46,$818.35,,,,,
,No Service,7,$87.06,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$0.00,0,0,0.0%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$359.29,,,,,
,Cash Adjustments,,-$0.04,,,,,
,Cash before Tipouts,,$359.25,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$156.55,,,,,
,Total Cash,,$359.25,,,,,
