Sales Summary Export,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Generated 5/23/23 12:28 AM,Unnamed: 8
3/28/23 - 3/28/23,,,,,,,Common Good @ Night,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,$874.25,$51.62,$0.00,$163.52,$0.00,"$1,089.39",,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,21,17,37.2,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,16,901.27,163.52,0,0.19119555685472087,,1064.79
,Cash,2,24.6,0,0,0,,24.6
,Other,,,,,,,
,Total,18,925.87,163.52,0,0.19119555685472087,,1089.39
,,,,,,,,
,Credit Types,,,,,,,
,Amex,2,111.3,21,0,0.2,,132.3
,Discover,1,62.54,11.8,0,0.2,,74.34
,Mastercard,6,352.98,60.81,0,0.1826126126126126,,413.79
,Visa,7,374.45,69.91,0,0.1951430565247732,,444.36
,,,,,,,,
,Alternate Payment Types,,,,,,,
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Three Course Dinner,,,,,,,
,Restaurant Week,4,6,197,0,197,11.82,
,Breads,1,1,14,0,14,0,
,Desserts,1,1,12,0,12,0.72,
,Grab and Go Bar,,,,,,,
,Cold Drinks,1,2,11,0,11,0.66,
,Coffee Bar,3,5,25.95,0,25.95,1.56,
,Zero Proof- Bar,,,,,,,
,Entrees,,,,,,,
,Starters,2,2,10,0,10,0.6,
,White Wine,4,5,77,0,77,4.62,
,Red Wine,4,4,73,2.9,70.1,4.21,
,Beer,1,1,5,0,5,0.3,
,Spirits,2,3,39,1.4,37.6,2.25,
,Salads,7,7,94,2.9,91.1,5.47,
,Pasta,2,2,37,5.31,31.69,1.9,
,Pizza,9,11,316.5,24.69,291.81,17.51,
,No Category,0,,,,0,0,
,Total,,,911.45,37.2,874.25,51.62 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Dining Room,6,24,477.5,14.2,463.3,27.8,
,Bar,5,14,202.95,0,202.95,11.34,
,Online Ordering,2,4,120,0,120,7.2,
,No Revenue Center,4,8,111,23,88,5.28,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Dine In,13,671.25,,,,,
,Takeout,2,120,,,,,
,Take Out,2,83,,,,,
,,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,MI STATE TAX,,51.62,860.25,,,,
,Non Taxable,2,,14,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,Team Dine-In 20%,3,9.2,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,Birthday Rewards,1,5,,,,,
,Shift Meal,1,23,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Happy Hour,1,$19.00,,,,,
,Dinner,16,$855.25,,,,,
,No Service,0,$0.00,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$0.00,0,0,0.0%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$24.60,,,,,
,Cash Adjustments,,$8.60,,,,,
,Cash before Tipouts,,$33.20,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$163.52,,,,,
,Total Cash,,$33.20,,,,,
