Sales Summary Export,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Generated 5/23/23 12:28 AM,Unnamed: 8
3/27/23 - 3/27/23,,,,,,,Common Good Bakery - 537 W. 14th Street - 14th St.,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,"$1,448.85",$6.76,$0.00,$99.55,$300.00,"$1,855.16",,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,63,69,625.2,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,48,1109.11,83.95,0,0.07538952000359211,,1193.06
,Gift Card,10,77.5,0,0,0,,77.5
,Cash,5,89,0,0,0,,89
,Other,1,402,0,0,0,,402
,Total,64,1677.61,83.95,0,0.05269765544082107,,1761.56
,,,,,,,,
,Credit Types,,,,,,,
,Amex,5,74.61,8.95,0,0.12176870748299319,,83.56
,Mastercard,18,375.36,26.83,0,0.07203651496845213,,402.19
,Visa,25,659.14,48.17,0,0.07215398442180947,,707.31
,,,,,,,,
,Alternate Payment Types,,,,,,,
,Wholesale Close Out,1,402,0,0,0,,402
,,,,,,,,
,,,,,,,Deposit Sales Collected,$93.60
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Soup,1,1,7,0,7,0.42,
,Wholesale,1,92,402,0,402,0,
,Grocery,,,,,,,
,Candy,,,,,,,
,Breakfast Pastry,31,95,595,164.4,430.6,0,
,"Cookies, Bars & Tarts",14,26,129,9.9,119.1,0,
,Cakes,,,,,,,
,Holiday Menus,,,,,,,
,Hot Sandwiches,3,4,60,14,46,2.76,
,Cold Sandwiches,,,,,,,
,Salads,,,,,,,
,Pizza,,,,,,,
,Merchandise,1,1,15,0,15,0,
,Breakfast Sandwiches,9,11,154,2.9,151.1,0,
,Cold Drinks,4,4,19.1,5,14.1,0.85,
,Catering,,,,,,,
,Coffee Bar,8,10,45.45,0,45.45,2.73,
,Breads,27,81,647.5,429,218.5,0,
,No Category,0,,,,0,0,
,Total,,,2074.05,625.2,1448.85,6.76 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,No Revenue Center,65,325,2074.05,625.2,1448.85,6.76,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Dine-In,2,56.95,,,,,
,Future Orders,6,166,,,,,
,Takeout,61,1225.9,,,,,
,,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,Prepared Food,,6.76,112.55,,,,
,Non Taxable,63,,1336.3,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,$2 Bread Club Baguette,4,10,,,,,
,Rebel Bread,7,17.5,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,10% Hospice of Michigan,1,5,,,,,
,10% Munson,1,6.2,,,,,
,Bread Waste,1,386,,,,,
,Pastry Waste,1,160,,,,,
,Reward Dollars,2,11,,,,,
,Shift Meal,1,29.5,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Hours,68,"$1,046.85",,,,,
,No Service,1,$402.00,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$33.00,2,7,2.3%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$89.00,,,,,
,Cash Adjustments,,$0.08,,,,,
,Cash before Tipouts,,$89.08,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$83.95,,,,,
,Total Cash,,$89.08,,,,,
