Sales Summary Export,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Generated 5/23/23 12:25 AM,Unnamed: 8
3/20/23 - 3/20/23,,,,,,,Common Good Bakery - 537 W. 14th Street - 14th St.,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,"$1,647.75",$11.25,$0.00,$96.27,$100.00,"$1,855.27",,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,82,90,695.8,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,38,818.97,78.47,0,0.09236654699546819,,897.44
,Gift Card,23,155,0,0,0,,155
,Cash,22,227.53,0,0,0,,227.53
,Other,1,454.5,0,0,0,,454.5
,Total,84,1656,78.47,0,0.053781570199787535,,1734.47
,,,,,,,,
,Credit Types,,,,,,,
,Amex,2,46,8.8,0,0.19130434782608696,,54.8
,Discover,1,34,0,0,0,,34
,Mastercard,12,190.59,13.25,0,0.06279620853080568,,203.84
,Visa,23,548.38,56.42,0,0.10101154775758663,,604.8
,,,,,,,,
,Alternate Payment Types,,,,,,,
,Wholesale Close Out,1,454.5,0,0,0,,454.5
,,,,,,,,
,,,,,,,Paid In Total,$34.00
,,,,,,,,
,,,,,,,Deposit Sales Collected,$154.80
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Soup,,,,,,,
,Wholesale,1,103,454.5,0,454.5,0,
,Grocery,,,,,,,
,Candy,,,,,,,
,Breakfast Pastry,30,93,586,304.56,281.44,0,
,"Cookies, Bars & Tarts",18,57,264,26.11,237.89,0,
,Cakes,1,1,48,0,48,0,
,Holiday Menus,,,,,,,
,Hot Sandwiches,7,8,120,14.43,105.57,6.33,
,Cold Sandwiches,,,,,,,
,Salads,,,,,,,
,Pizza,,,,,,,
,Merchandise,,,,,,,
,Breakfast Sandwiches,6,6,82,4.44,77.56,0,
,Cold Drinks,6,8,39.1,5,34.1,1.15,
,Catering,,,,,,,
,Coffee Bar,15,17,77.95,15.06,62.89,3.77,
,Breads,45,106,672,326.2,345.8,0,
,No Category,0,,,,0,0,
,Total,,,2343.55,695.8,1647.75,11.25 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,No Revenue Center,89,399,2343.55,695.8,1647.75,11.25,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Dine-In,1,58,,,,,
,Future Orders,5,153.46,,,,,
,Takeout,84,1436.29,,,,,
,,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,Prepared Food,,11.25,187.56,,,,
,Non Taxable,83,,1460.19,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,$2 Bread Club Baguette,9,22,,,,,
,Rebel Bread,14,40,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,Birthday Rewards,1,5,,,,,
,Bread Waste,1,242,,,,,
,Pastry Waste,1,292,,,,,
,Reward Dollars,6,89.8,,,,,
,Shift Meal,1,5,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Hours,87,"$1,185.75",,,,,
,No Service,3,$462.00,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$0.00,0,0,0.0%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$227.53,,,,,
,Cash Adjustments,,$0.95,,,,,
,Cash before Tipouts,,$228.48,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$78.47,,,,,
,Total Cash,,$228.48,,,,,
