Sales Summary Export,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Generated 5/23/23 12:28 AM,Unnamed: 8
3/26/23 - 3/26/23,,,,,,,Common Good @ Night,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,$378.50,$22.26,$0.00,$61.94,$0.00,$462.70,,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,11,11,24.5,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,9,393.26,61.94,0,0.1669541778975741,,455.2
,Gift Card,1,7.5,0,0,0,,7.5
,Cash,,,,,,,
,Other,,,,,,,
,Total,10,400.76,61.94,0,0.1636459709379128,,462.7
,,,,,,,,
,Credit Types,,,,,,,
,Mastercard,5,243.8,36.7,0,0.15956521739130436,,280.5
,Visa,4,149.46,25.24,0,0.17900709219858155,,174.7
,,,,,,,,
,Alternate Payment Types,,,,,,,
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Three Course Dinner,,,,,,,
,Restaurant Week,,,,,,,
,Breads,1,1,10,2.5,7.5,0,
,Desserts,2,3,36,0,36,2.16,
,Grab and Go Bar,,,,,,,
,Cold Drinks,1,2,6,0,6,0.36,
,Coffee Bar,1,2,12,0,12,0.72,
,Zero Proof- Bar,,,,,,,
,Entrees,1,1,29,0,29,1.74,
,Starters,4,6,74,0,74,4.44,
,White Wine,2,2,24,0,24,1.44,
,Red Wine,1,1,12,0,12,0.72,
,Beer,,,,,,,
,Spirits,,,,,,,
,Salads,1,1,14,0,14,0.84,
,Pasta,4,5,103,22,81,4.86,
,Pizza,2,3,83,0,83,4.98,
,No Category,0,,,,0,0,
,Total,,,403,24.5,378.5,22.26 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Dining Room,2,6,66,0,66,3.96,
,Bar,1,6,77,0,77,4.62,
,Online Ordering,3,8,173,0,173,10.38,
,No Revenue Center,5,7,87,24.5,62.5,3.3,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Dine In,5,150.5,,,,,
,Takeout,3,173,,,,,
,Take Out,3,55,,,,,
,,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,MI STATE TAX,,22.26,371,,,,
,Non Taxable,2,,7.5,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,Rebel Bread,1,2.5,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,Shift Meal,1,22,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Happy Hour,1,$54.00,,,,,
,Dinner,10,$324.50,,,,,
,No Service,0,$0.00,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$0.00,0,0,0.0%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$0.00,,,,,
,Cash Adjustments,,$0.00,,,,,
,Cash before Tipouts,,$0.00,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$61.94,,,,,
,Total Cash,,$0.00,,,,,
