Sales Summary Export,,,,,,,Generated 5/19/23 6:48 PM,
1/23/23 - 1/23/23,,,,,,,Common Good Bakery - 1115 E. 8th Street - 8th St.,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,"$1,917.55",$56.19,$0.00,$220.40,$0.00,"$2,194.14",,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,121,122,162.05,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,75,1496.93,220.4,0,0.150922724004519,,1717.33
,Gift Card,6,49,0,0,0,,49
,Cash,42,441.25,0,0,0,,441.25
,Other,,,,,,,
,Total,123,1987.18,220.4,0,0.146023122536191,,2207.58
,,,,,,,,
,Credit Types,,,,,,,
,Amex,9,161.1,20.54,0,0.130247305009512,,181.64
,Mastercard,22,420.77,61.51,0,0.151353346456693,,482.28
,Visa,44,915.06,138.35,0,0.154365411436541,,1053.41
,,,,,,,,
,Alternate Payment Types,,,,,,,
,,,,,,,,
,,,,,,,Paid In Total,$13.44
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Breads,30,51,301.5,24,277.5,0,
,Breakfast Pastry,60,117,601,101.86,499.14,0,
,Breakfast Sandwiches,21,26,362,35.59,326.41,19.58,
,Cakes,,,,,,,
,Catering,,,,,,,
,Coffee Bar,42,57,274.3,0,274.3,16.45,
,Cold Drinks,10,11,47.8,0,47.8,0,
,Cold Sandwiches,,,,,,,
,"Cookies, Bars & Tarts",25,39,157,0.6,156.4,0,
,Hot Sandwiches,19,22,336,0,336,20.16,
,Holiday Menus,,,,,,,
,Grocery,,,,,,,
,Merchandise,,,,,,,
,Wholesale,,,,,,,
,Soup,,,,,,,
,White Wine,,,,,,,
,Beer,,,,,,,
,Salads,,,,,,,
,Toasts & Tartines,,,,,,,
,Pizza,,,,,,,
,Red Wine,,,,,,,
,No Category,0,,,,0,0,
,Total,,,2079.6,162.05,1917.55,56.19 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Dining Room,,,,,,,
,Bar,,,,,,,
,Online Ordering,4,18,151,7.45,143.55,4.52,
,No Revenue Center,117,305,1928.6,154.6,1774,51.67,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Dine In,34,620.6,,,,,
,Takeout,88,1296.95,,,,,
,None,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,Prepared Food,,56.19,936.71,,,,
,Non Taxable,100,,980.84,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,Comp Item,1,5,,,,,
,Rebel Bread Club Loaf,5,13,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,Munson- 10%,1,1.6,,,,,
,Pastry Waste,1,80,,,,,
,Reward Dollars,1,7.45,,,,,
,Shift Meal,1,55,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Hours,43,$677.85,,,,,
,Lunch,71,"$1,061.25",,,,,
,No Service,8,$178.45,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$38.00,2,4,2.0%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$441.25,,,,,
,Cash Adjustments,,$11.96,,,,,
,Cash before Tipouts,,$453.21,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$220.40,,,,,
,Total Cash,,$453.21,,,,,
