Sales Summary Export,,,,,,,Generated 5/15/23 7:03 PM,
5/1/23 - 5/1/23,,,,,,,Common Good @ Night,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,$787.70,$45.58,$0.00,$147.82,$0.00,$981.10,,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,26,19,0,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,19,730.46,147.82,0,0.214014767627045,,878.28
,Cash,1,10.6,0,0,0,,10.6
,Other,,,,,,,
,Total,20,741.06,147.82,0,0.214014767627045,,888.88
,,,,,,,,
,Credit Types,,,,,,,
,Amex,1,42.4,8,0,0.2,,50.4
,Discover,1,29.68,7,0,0.25,,36.68
,Mastercard,7,202.93,37.45,0,0.194293125810636,,240.38
,Visa,10,455.45,95.37,0,0.221816490289569,,550.82
,,,,,,,,
,Alternate Payment Types,,,,,,,
,,,,,,,,
,,,,,,,Deposit Sales Collected,$92.22
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Three Course Dinner,3,5,152,0,152,9.12,
,Restaurant Week,,,,,,,
,Breads,2,3,23,0,23,0,
,Desserts,1,1,10,0,10,0.6,
,Grab and Go Bar,,,,,,,
,Cold Drinks,3,5,23,0,23,1.08,
,Coffee Bar,4,4,16.7,0,16.7,1,
,Zero Proof- Bar,,,,,,,
,Entrees,2,2,58,0,58,3.48,
,Starters,4,5,57,0,57,3.42,
,White Wine,,,,,,,
,Red Wine,1,1,12,0,12,0.72,
,Beer,5,8,48,0,48,2.88,
,Spirits,3,4,57,0,57,3.42,
,Salads,2,3,42,0,42,2.52,
,Pasta,6,7,119,0,119,7.14,
,Pizza,6,6,170,0,170,10.2,
,No Category,0,,,,0,0,
,Total,,,787.7,0,787.7,45.58 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Dining Room,7,23,408.75,0,408.75,24.52,
,Bar,6,18,205,0,205,12,
,Online Ordering,1,5,87,0,87,5.22,
,No Revenue Center,5,8,86.95,0,86.95,3.84,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Dine In,16,678.75,,,,,
,Takeout,3,108.95,,,,,
,None,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,MI STATE TAX,,45.58,759.7,,,,
,Non Taxable,3,,28,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Happy Hour,7,$239.75,,,,,
,Dinner,12,$547.95,,,,,
,No Service,0,$0.00,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$0.00,0,0,0.0%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$10.60,,,,,
,Cash Adjustments,,$0.00,,,,,
,Cash before Tipouts,,$10.60,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$147.82,,,,,
,Total Cash,,$10.60,,,,,
