Sales Summary Export,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Generated 5/22/23 6:11 PM,Unnamed: 8
2/7/23 - 2/7/23,,,,,,,Common Good Bakery - 537 W. 14th Street - 14th St.,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,"$2,130.34",$6.96,$0.00,$114.22,$100.00,"$2,351.52",,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,120,122,338.93,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,62,1069.66,109.02,0,0.09677333451688784,,1178.68
,Gift Card,34,333,0,0,0,,333
,Cash,19,187.89,0,0,0,,187.89
,Other,1,591.22,0,0,0,,591.22
,Total,116,2181.77,109.02,0,0.053160520194853636,,2290.79
,,,,,,,,
,Credit Types,,,,,,,
,Amex,9,113.9,12.51,0,0.11199641897940912,,126.41
,Mastercard,22,428.63,38.96,0,0.08274397366464904,,467.59
,Visa,31,527.13,57.55,0,0.10579044117647059,,584.68
,,,,,,,,
,Alternate Payment Types,,,,,,,
,Wholesale Close Out,1,591.22,0,0,0,,591.22
,,,,,,,,
,,,,,,,Paid In Total,$43.27
,,,,,,,,
,,,,,,,Deposit Sales Collected,$104.00
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Soup,1,1,7,0,7,0,
,Wholesale,1,304,591.22,0,591.22,0,
,Grocery,,,,,,,
,Candy,,,,,,,
,Breakfast Pastry,46,96,500,86.73,413.27,0,
,"Cookies, Bars & Tarts",31,51,199,19.6,179.4,0,
,Cakes,,,,,,,
,Holiday Menus,,,,,,,
,Hot Sandwiches,5,5,80,0,80,1.92,
,Cold Sandwiches,,,,,,,
,Salads,,,,,,,
,Pizza,,,,,,,
,Merchandise,,,,,,,
,Breakfast Sandwiches,14,21,251,30.99,220.01,0,
,Cold Drinks,1,1,4.1,0,4.1,0,
,Catering,,,,,,,
,Coffee Bar,18,21,84.95,0.8,84.15,5.04,
,Breads,56,115,752,200.81,551.19,0,
,No Category,0,,,,0,0,
,Total,,,2469.27,338.93,2130.34,6.96 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,No Revenue Center,121,615,2469.27,338.93,2130.34,6.96,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Future Orders,17,419.9,,,,,
,Takeout,105,1710.44,,,,,
,,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,Prepared Food,,6.96,116.15,,,,
,Non Taxable,116,,2014.19,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,$2 Bread Club Baguette,8,16,,,,,
,Rebel Bread,29,91,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,10% Munson,1,2.2,,,,,
,Birthday Rewards,1,5,,,,,
,Bread Waste,2,152,,,,,
,Reward Dollars,6,45.53,,,,,
,Shift Meal,1,23,,,,,
,Team 20%,2,4.2,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Hours,117,"$2,114.24",,,,,
,No Service,5,$16.10,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$14.00,1,1,0.7%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$187.89,,,,,
,Cash Adjustments,,-$0.23,,,,,
,Cash before Tipouts,,$187.66,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$109.02,,,,,
,Total Cash,,$187.66,,,,,
