Sales Summary Export,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Generated 5/23/23 11:37 PM,Unnamed: 8
4/3/23 - 4/3/23,,,,,,,Common Good Bakery - 1115 E. 8th Street - 8th St.,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,"$1,902.57",$41.96,$0.00,$198.41,$300.00,"$2,442.94",,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,121,123,212.33,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,68,1741.97,207.71,0,0.11719799131072618,,1949.68
,Gift Card,17,149,0,0,0,,149
,Cash,35,397.36,0,0,0,,397.36
,Other,,,,,,,
,Total,120,2288.33,207.71,0,0.10810909280174882,,2496.04
,,,,,,,,
,Credit Types,,,,,,,
,Amex,11,385.63,29.37,0,0.0738682092555332,,415
,Discover,1,49.57,7.06,0,0.14989384288747346,,56.63
,Mastercard,33,753.6,94.14,0,0.12497013142174433,,847.74
,Visa,23,553.17,77.14,0,0.13432004179000523,,630.31
,,,,,,,,
,Alternate Payment Types,,,,,,,
,,,,,,,,
,,,,,,,Paid In Total,$53.10
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Breads,42,63,417,74.21,342.79,0,
,Breakfast Pastry,49,100,635,83.09,551.91,0,
,Breakfast Sandwiches,5,8,119,0,119,7.14,
,Cakes,2,2,88,9.6,78.4,0,
,Catering,,,,,,,
,Coffee Bar,25,31,133,3.92,129.08,7.74,
,Cold Drinks,11,17,83.9,11,72.9,4.05,
,Cold Sandwiches,,,,,,,
,"Cookies, Bars & Tarts",30,49,236,11.31,224.69,0,
,Hot Sandwiches,18,26,396,19.2,376.8,22.61,
,Holiday Menus,,,,,,,
,Grocery,,,,,,,
,Merchandise,,,,,,,
,Wholesale,,,,,,,
,Salads,,,,,,,
,Red Wine,,,,,,,
,White Wine,,,,,,,
,Beer,1,1,7,0,7,0.42,
,Spirits,,,,,,,
,Pizza,,,,,,,
,Soup,,,,,,,
,Toasts & Tartines,,,,,,,
,No Category,0,,,,0,0,
,Total,,,2114.9,212.33,1902.57,41.96 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Dining Room,,,,,,,
,Bar,,,,,,,
,Online Ordering,3,13,130,0,130,4.98,
,No Revenue Center,114,284,1984.9,212.33,1772.57,36.98,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Dine In,50,877.37,,,,,
,Future Order,1,51,,,,,
,Takeout,72,974.2,,,,,
,,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,Prepared Food,,41.96,698.78,,,,
,Non Taxable,100,,1203.79,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,$2 Bread Club Baguette,1,2,,,,,
,Rebel Bread,13,37,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,10% Hospice of Michigan,1,1.8,,,,,
,Birthday Rewards,1,5,,,,,
,Pastry Waste,2,46,,,,,
,Reward Dollars,4,51.43,,,,,
,Shift Meal,1,55,,,,,
,Teachers 20%,1,14.1,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Hours,119,"$1,839.17",,,,,
,Dinner,1,$56.40,,,,,
,No Service,3,$7.00,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$25.00,5,5,1.3%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$397.36,,,,,
,Cash Adjustments,,$20.14,,,,,
,Cash before Tipouts,,$417.50,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$207.71,,,,,
,Total Cash,,$417.50,,,,,
