Sales Summary Export,,,,,,,Generated 5/19/23 6:44 PM,
1/15/23 - 1/15/23,,,,,,,Common Good Bakery - 537 W. 14th Street - 14th St.,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,"$2,103.97",$10.97,$0.00,$164.90,$0.00,"$2,279.84",,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,80,85,709.67,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,56,1230.05,166.9,0,0.134282725883016,,1396.95
,Gift Card,15,136.5,0,0,0,,136.5
,Cash,11,123,0,0,0,,123
,Other,1,665.39,0,0,0,,665.39
,Total,83,2154.94,166.9,0,0.0816220736603759,,2321.84
,,,,,,,,
,Credit Types,,,,,,,
,Amex,7,143.83,23.89,0,0.159426092759426,,167.72
,Mastercard,15,325.62,48.35,0,0.149182351126196,,373.97
,Visa,34,760.6,94.66,0,0.123102932570388,,855.26
,,,,,,,,
,Alternate Payment Types,,,,,,,
,Wholesale Close Out,1,665.39,0,0,0,,665.39
,,,,,,,,
,,,,,,,Paid In Total,$72.50
,,,,,,,,
,,,,,,,Deposit Sales Collected,$30.50
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Soup,,,,,,,
,Wholesale,1,155,665.39,0,665.39,0,
,Grocery,,,,,,,
,Candy,,,,,,,
,Breakfast Pastry,50,176,919,320.69,598.31,0,
,"Cookies, Bars & Tarts",9,13,57,0,57,0,
,Cakes,,,,,,,
,Holiday Menus,,,,,,,
,Hot Sandwiches,2,2,30,0,30,1.8,
,Cold Sandwiches,2,2,28,14,14,0,
,Salads,,,,,,,
,Pizza,,,,,,,
,Merchandise,,,,,,,
,Breakfast Sandwiches,18,23,243,13,230,0,
,Cold Drinks,1,2,14,0,14,0.84,
,Catering,,,,,,,
,Coffee Bar,19,28,143.4,5.13,138.27,8.33,
,Breads,38,103,713.85,356.85,357,0,
,No Category,0,,,,0,0,
,Total,,,2813.64,709.67,2103.97,10.97 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,No Revenue Center,85,504,2813.64,709.67,2103.97,10.97,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Takeout,85,2103.97,,,,,
,None,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,Prepared Food,,10.97,182.27,,,,
,Non Taxable,84,,1921.7,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,$2 Bread Club Baguette,7,18,,,,,
,Rebel Bread,13,33,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,20% - Teachers,1,2,,,,,
,Bread Waste,1,305.85,,,,,
,Pastry Waste,1,280,,,,,
,Reward Dollars,3,21.82,,,,,
,Shift Meal,1,49,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Hours,85,"$2,103.97",,,,,
,No Service,0,$0.00,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$48.00,1,8,2.3%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$123.00,,,,,
,Cash Adjustments,,$1.80,,,,,
,Cash before Tipouts,,$124.80,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$166.90,,,,,
,Total Cash,,$124.80,,,,,
