Sales Summary Export,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Generated 5/23/23 12:23 AM,Unnamed: 8
3/17/23 - 3/17/23,,,,,,,Common Good Bakery - 1115 E. 8th Street - 8th St.,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,"$1,738.61",$32.78,$0.00,$206.90,$245.00,"$2,223.29",,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,94,98,505.09,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,69,1741.44,206.9,0,0.11914153599871012,,1948.34
,Gift Card,15,130,0,0,0,,130
,Cash,10,144.95,0,0,0,,144.95
,Other,,,,,,,
,Total,94,2016.39,206.9,0,0.11084621360263588,,2223.29
,,,,,,,,
,Credit Types,,,,,,,
,Amex,7,263.39,30.4,0,0.1173971809229581,,293.79
,Discover,3,80.9,12,0,0.15584415584415584,,92.9
,Mastercard,28,735.29,59.67,0,0.08139407993452462,,794.96
,Visa,31,661.86,104.83,0,0.1570392785451059,,766.69
,,,,,,,,
,Alternate Payment Types,,,,,,,
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Breads,25,67,397,151,246,0,
,Breakfast Pastry,42,130,848,257.14,590.86,0,
,Breakfast Sandwiches,12,14,192,13,179,10.74,
,Cakes,2,2,88,0,88,0,
,Catering,,,,,,,
,Coffee Bar,23,30,132.4,9.45,122.95,7.38,
,Cold Drinks,4,4,17.3,4.1,13.2,0.8,
,Cold Sandwiches,,,,,,,
,"Cookies, Bars & Tarts",27,61,292,24.4,267.6,0,
,Hot Sandwiches,13,16,238,46,192,11.52,
,Holiday Menus,,,,,,,
,Grocery,,,,,,,
,Merchandise,,,,,,,
,Wholesale,,,,,,,
,Salads,,,,,,,
,Red Wine,,,,,,,
,White Wine,,,,,,,
,Beer,4,6,39,0,39,2.34,
,Spirits,,,,,,,
,Pizza,,,,,,,
,Soup,,,,,,,
,Toasts & Tartines,,,,,,,
,No Category,0,,,,0,0,
,Total,,,2243.7,505.09,1738.61,32.78 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Dining Room,,,,,,,
,Bar,,,,,,,
,Online Ordering,5,13,157,0,157,4.32,
,No Revenue Center,92,317,2086.7,505.09,1581.61,28.46,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Dine In,17,291.7,,,,,
,Takeout,81,1446.91,,,,,
,,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,Prepared Food,,32.78,546.15,,,,
,Non Taxable,79,,1192.46,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,$2 Bread Club Baguette,6,16,,,,,
,Rebel Bread,13,35,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,Bread Waste,1,60,,,,,
,Pastry Waste,2,233,,,,,
,Reward Dollars,3,21.14,,,,,
,Shift Meal,3,137.05,,,,,
,Teachers 20%,1,2.9,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Hours,38,$739.51,,,,,
,Dinner,11,$93.00,,,,,
,Lunch,40,$747.00,,,,,
,No Service,9,$159.10,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$2.00,1,1,0.1%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$144.95,,,,,
,Cash Adjustments,,$18.67,,,,,
,Cash before Tipouts,,$163.62,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$206.90,,,,,
,Total Cash,,$163.62,,,,,
