Sales Summary Export,,,,,,,Generated 5/17/23 8:18 PM,
5/5/23 - 5/5/23,,,,,,,Common Good @ Night,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,"$1,927.69",$114.95,$0.00,$362.19,$0.00,"$2,404.83",,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,56,38,182.31,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,34,1972.19,380.39,0,0.199910657977717,,2352.58
,Gift Card,2,24,0,0,0,,24
,Cash,6,142.91,0,0,0,,142.91
,Other,,,,,,,
,Total,42,2139.1,380.39,0,0.196489542493789,,2519.49
,,,,,,,,
,Credit Types,,,,,,,
,Amex,3,198.22,39.9,0,0.213368983957219,,238.12
,Discover,2,133.44,33.14,0,0.228756816456133,,166.58
,Mastercard,14,802.94,143.98,0,0.190075116503188,,946.92
,Visa,15,837.59,163.37,0,0.200838414634146,,1000.96
,,,,,,,,
,Alternate Payment Types,,,,,,,
,,,,,,,,
,,,,,,,Paid In Total,$114.66
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Three Course Dinner,7,11,375,0,375,22.5,
,Restaurant Week,,,,,,,
,Breads,2,4,16,4,12,0,
,Desserts,1,1,10,0,10,0.6,
,Grab and Go Bar,,,,,,,
,Cold Drinks,1,2,9,0,9,0.54,
,Coffee Bar,6,8,36.5,0,36.5,2.19,
,Zero Proof- Bar,1,1,5,0,5,0.3,
,Entrees,1,1,29,0,29,1.74,
,Starters,10,18,230,0,230,13.8,
,White Wine,5,6,72,2.4,69.6,4.18,
,Red Wine,4,4,73,22.22,50.78,3.05,
,Beer,9,16,103,1.78,101.22,6.07,
,Spirits,7,11,172,0,172,10.32,
,Salads,10,10,166,27.95,138.05,8.28,
,Pasta,10,11,207,50.09,156.91,9.42,
,Pizza,19,21,606.5,73.87,532.63,31.96,
,No Category,0,,,,0,0,
,Total,,,2110,182.31,1927.69,114.95 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Dining Room,13,55,1040,33.64,1006.36,60.38,
,Bar,15,50,788.5,55.42,733.08,43.99,
,Online Ordering,1,3,67,15.25,51.75,3.11,
,No Revenue Center,9,17,214.5,78,136.5,7.47,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Dine In,34,1799.94,,,,,
,Takeout,4,127.75,,,,,
,None,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,MI STATE TAX,,114.95,1915.69,,,,
,Non Taxable,5,,12,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,$2 Bread Club Baguette,2,4,,,,,
,Comp Item,1,25,,,,,
,Mistake Discount,1,2.4,,,,,
,Team Dine-In 20%,1,4.4,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,Comp Check,2,94,,,,,
,Reward Dollars,3,52.51,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Happy Hour,4,$171.98,,,,,
,Dinner,34,"$1,755.71",,,,,
,No Service,0,$0.00,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$5.00,1,1,0.3%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$142.91,,,,,
,Cash Adjustments,,$3.57,,,,,
,Cash before Tipouts,,$146.48,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$380.39,,,,,
,Total Cash,,$146.48,,,,,
