Sales Summary Export,,,,,,,Generated 5/19/23 8:31 PM,
2/6/23 - 2/6/23,,,,,,,Common Good Bakery - 1115 E. 8th Street - 8th St.,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,"$1,670.55",$49.35,$0.00,$204.50,$100.00,"$2,024.40",,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,107,110,392.7,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,73,1422.32,203,0,0.143523755656109,,1625.32
,Gift Card,15,116.75,0,0,0,,116.75
,Cash,25,280.83,0,0,0,,280.83
,Other,,,,,,,
,Total,113,1819.9,203,0,0.13259307642064,,2022.9
,,,,,,,,
,Credit Types,,,,,,,
,Amex,10,190.26,31.66,0,0.171505958829903,,221.92
,Mastercard,24,505.25,77.94,0,0.154397781299525,,583.19
,Visa,39,726.81,93.4,0,0.128827586206897,,820.21
,,,,,,,,
,Alternate Payment Types,,,,,,,
,,,,,,,,
,,,,,,,Paid In Total,$34.50
,,,,,,,,
,,,,,,,Deposit Sales Collected,$36.00
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Breads,32,46,326,62.6,263.4,0,
,Breakfast Pastry,48,129,672,283.36,388.64,0,
,Breakfast Sandwiches,12,14,189,14,175,10.5,
,Cakes,1,1,30,0,30,0,
,Catering,,,,,,,
,Coffee Bar,35,46,213.45,3.09,210.36,12.62,
,Cold Drinks,12,14,62.8,0,62.8,0,
,Cold Sandwiches,,,,,,,
,"Cookies, Bars & Tarts",16,31,113,9.77,103.23,0,
,Hot Sandwiches,25,30,457,19.88,437.12,26.23,
,Holiday Menus,,,,,,,
,Grocery,,,,,,,
,Merchandise,,,,,,,
,Wholesale,,,,,,,
,Soup,,,,,,,
,White Wine,,,,,,,
,Beer,,,,,,,
,Salads,,,,,,,
,Toasts & Tartines,,,,,,,
,Pizza,,,,,,,
,Red Wine,,,,,,,
,No Category,0,,,,0,0,
,Total,,,2063.25,392.7,1670.55,49.35 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Dining Room,,,,,,,
,Bar,,,,,,,
,Online Ordering,2,2,44,0,44,0.84,
,No Revenue Center,106,309,2019.25,392.7,1626.55,48.51,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Dine In,37,778.52,,,,,
,Takeout,73,892.03,,,,,
,None,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,Prepared Food,,49.35,822.48,,,,
,Non Taxable,81,,848.07,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,$2 Bread Club Baguette,3,6,,,,,
,Rebel Bread Club Loaf,15,38.5,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,Bread Waste,1,10,,,,,
,Pastry Waste,1,267,,,,,
,Reward Dollars,3,23.9,,,,,
,Shift Meal,1,37,,,,,
,Teachers- 20%,1,5.5,,,,,
,Team- 20%,1,4.8,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Hours,39,$638.55,,,,,
,Lunch,64,$923.82,,,,,
,No Service,7,$108.18,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$6.95,1,1,0.4%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$280.83,,,,,
,Cash Adjustments,,$0.12,,,,,
,Cash before Tipouts,,$280.95,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$203.00,,,,,
,Total Cash,,$280.95,,,,,
