Sales Summary Export,,,,,,,Generated 5/19/23 8:27 PM,
1/27/23 - 1/27/23,,,,,,,Common Good @ Night,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,"$2,561.70",$151.95,$0.00,$440.96,$0.00,"$3,154.61",,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,58,50,123.3,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,47,2652.09,440.96,0,0.17178028827425,,3093.05
,Gift Card,1,7.5,0,0,0,,7.5
,Cash,2,54.06,0,0,0,,54.06
,Other,,,,,,,
,Total,50,2713.65,440.96,0,0.171279860167023,,3154.61
,,,,,,,,
,Credit Types,,,,,,,
,Amex,5,267.12,41.4,0,0.164285714285714,,308.52
,Mastercard,21,1208.59,207.42,0,0.179895923677363,,1416.01
,Visa,21,1176.38,192.14,0,0.165352839931153,,1368.52
,,,,,,,,
,Alternate Payment Types,,,,,,,
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Three Course Dinner,,,,,,,
,Restaurant Week,,,,,,,
,Breads,3,3,34,4.9,29.1,0,
,Desserts,7,11,58,0,58,3.48,
,Grab and Go Bar,,,,,,,
,Cold Drinks,3,3,15,1,14,0.84,
,Coffee Bar,2,2,8,0,8,0.48,
,Zero Proof- Bar,5,6,62,5.2,56.8,3.4,
,Entrees,4,5,145,0,145,8.7,
,Starters,14,20,287,19,268,16.08,
,White Wine,6,7,88,2.4,85.6,5.14,
,Red Wine,13,15,265,3.2,261.8,15.71,
,Beer,19,32,185,2.9,182.1,10.93,
,Spirits,7,10,147,0,147,8.82,
,Salads,10,10,136,2.8,133.2,7.99,
,Pasta,10,14,269,47,222,13.32,
,Pizza,27,36,986,34.9,951.1,57.06,
,No Category,0,,,,0,0,
,Total,,,2685,123.3,2561.7,151.95 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Dining Room,17,83,1154.5,22.4,1132.1,67.93,
,Bar,18,64,998.5,38,960.5,57.05,
,Online Ordering,,,,,,,
,No Revenue Center,15,27,532,62.9,469.1,26.97,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Dine In,41,2120.3,,,,,
,Take Out,9,441.4,,,,,
,None,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,MI STATE TAX,,151.95,2532.6,,,,
,Non Taxable,5,,29.1,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,Comp Item,1,19,,,,,
,Rebel Bread Loaf,1,2.5,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,Hospice Discount-10%,1,3.4,,,,,
,Shift Meal,1,38,,,,,
,Teacher/School- 20%,1,17.4,,,,,
,Team Discount - 20%,4,43,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Happy Hour,6,$84.00,,,,,
,Dinner,42,"$2,441.70",,,,,
,No Service,2,$36.00,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$37.00,2,4,1.4%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$54.06,,,,,
,Cash Adjustments,,$0.00,,,,,
,Cash before Tipouts,,$54.06,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$440.96,,,,,
,Total Cash,,$54.06,,,,,
