Sales Summary Export,,,,,,,Generated 5/19/23 8:29 PM,
2/2/23 - 2/2/23,,,,,,,Common Good @ Night,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,"$1,337.50",$74.85,$0.00,$214.41,$0.00,"$1,626.76",,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,34,36,62.5,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,33,1390.51,214.41,0,0.162112505670649,,1604.92
,Cash,2,21.84,0,0,0,,21.84
,Other,,,,,,,
,Total,35,1412.35,214.41,0,0.162112505670649,,1626.76
,,,,,,,,
,Credit Types,,,,,,,
,Amex,5,144.2,23.05,0,0.168248175182482,,167.25
,Mastercard,12,388.68,45.28,0,0.122843190450353,,433.96
,Visa,16,857.63,146.08,0,0.178800489596083,,1003.71
,,,,,,,,
,Alternate Payment Types,,,,,,,
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Three Course Dinner,,,,,,,
,Restaurant Week,,,,,,,
,Breads,8,10,88,0,88,0,
,Desserts,1,1,12,0,12,0.72,
,Grab and Go Bar,,,,,,,
,Cold Drinks,3,6,24,0,24,1.44,
,Coffee Bar,,,,,,,
,Zero Proof- Bar,1,1,5,0,5,0.3,
,Entrees,1,1,29,0,29,1.74,
,Starters,9,17,200,3,197,11.82,
,White Wine,2,3,97,0,97,5.82,
,Red Wine,1,1,12,0,12,0.72,
,Beer,12,29,167,3.5,163.5,9.81,
,Spirits,3,4,72,0,72,4.32,
,Salads,4,4,61,0,61,3.66,
,Pasta,6,7,164,26,138,8.28,
,Pizza,13,16,467,30,437,26.22,
,No Category,1,1,2,0,2,0,
,Total,,,1400,62.5,1337.5,74.85 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Dining Room,10,52,707,6.1,700.9,41.93,
,Bar,9,26,340,5.4,334.6,19.48,
,Online Ordering,3,3,64,0,64,3.84,
,No Revenue Center,14,20,289,51,238,9.6,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Dine In,30,1205.5,,,,,
,Takeout,3,64,,,,,
,Take Out,3,68,,,,,
,None,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,MI STATE TAX,,74.85,1247.5,,,,
,Non Taxable,10,,90,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,Team Dining - Off Shift,3,5.4,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,Munson Discount- 10%,1,6.1,,,,,
,Shift Meal,1,51,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Happy Hour,11,$324.00,,,,,
,Dinner,23,$989.50,,,,,
,No Service,2,$24.00,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$0.00,0,0,0.0%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$21.84,,,,,
,Cash Adjustments,,$0.85,,,,,
,Cash before Tipouts,,$22.69,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$214.41,,,,,
,Total Cash,,$22.69,,,,,
