Sales Summary Export,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Generated 5/23/23 12:27 AM,Unnamed: 8
3/24/23 - 3/24/23,,,,,,,Common Good @ Night,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,"$2,006.00",$119.08,$0.00,$321.63,$0.00,"$2,446.71",,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,38,33,55.5,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,30,1961.76,321.63,0,0.1737132055090467,,2283.39
,Gift Card,1,7.5,0,0,0,,7.5
,Cash,1,12.72,0,0,0,,12.72
,Other,,,,,,,
,Total,32,1981.98,321.63,0,0.17301237224314148,,2303.61
,,,,,,,,
,Credit Types,,,,,,,
,Amex,4,352.98,28.82,0,0.08654654654654655,,381.8
,Mastercard,8,418.7,79,0,0.2,,497.7
,Visa,18,1190.08,213.81,0,0.19030707610146863,,1403.89
,,,,,,,,
,Alternate Payment Types,,,,,,,
,,,,,,,,
,,,,,,,Deposit Sales Collected,$143.10
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Three Course Dinner,,,,,,,
,Restaurant Week,4,8,220,0,220,13.2,
,Breads,2,2,24,2.5,21.5,0,
,Desserts,1,2,24,4.8,19.2,1.16,
,Grab and Go Bar,,,,,,,
,Cold Drinks,3,5,24,0,24,1.44,
,Coffee Bar,3,3,19.5,0,19.5,1.17,
,Zero Proof- Bar,2,2,26,0,26,1.56,
,Entrees,3,4,116,0,116,6.96,
,Starters,11,17,151,0,151,9.06,
,White Wine,6,11,174,0,174,10.44,
,Red Wine,3,3,36,0,36,2.16,
,Beer,10,17,111,0,111,6.66,
,Spirits,5,7,105,3,102,6.12,
,Salads,10,12,162,2.4,159.6,9.58,
,Pasta,10,14,238,37,201,12.06,
,Pizza,15,23,631,5.8,625.2,37.51,
,No Category,0,,,,0,0,
,Total,,,2061.5,55.5,2006,119.08 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Dining Room,7,43,639,11.2,627.8,37.67,
,Bar,11,49,693.5,0,693.5,41.61,
,Online Ordering,4,11,234,15,219,13.14,
,No Revenue Center,11,27,495,29.3,465.7,26.66,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Dine In,23,1367,,,,,
,Takeout,5,302,,,,,
,Take Out,5,337,,,,,
,,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,MI STATE TAX,,119.08,1984.5,,,,
,Non Taxable,4,,21.5,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,Rebel Bread,1,2.5,,,,,
,Team Dine-In 20%,5,16,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,Reward Dollars,1,12,,,,,
,Shift Meal,1,22,,,,,
,Team 20%,1,3,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Happy Hour,4,$270.00,,,,,
,Dinner,28,"$1,721.00",,,,,
,No Service,1,$15.00,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$33.00,2,4,1.6%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$12.72,,,,,
,Cash Adjustments,,$14.18,,,,,
,Cash before Tipouts,,$26.90,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$321.63,,,,,
,Total Cash,,$26.90,,,,,
