Sales Summary Export,,,,,,,Generated 5/19/23 8:31 PM,
2/4/23 - 2/4/23,,,,,,,Common Good Bakery - 537 W. 14th Street - 14th St.,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,"$3,006.04",$13.09,$0.00,$166.87,$500.00,"$3,686.00",,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,134,136,197.64,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,75,1836.3,161.42,0,0.0879026329403436,,1997.72
,Gift Card,30,275.5,0,0,0,,275.5
,Cash,23,440.03,0,0,0,,440.03
,Other,1,904.18,0,0,0,,904.18
,Total,129,3456.01,161.42,0,0.0535206877915671,,3617.43
,,,,,,,,
,Credit Types,,,,,,,
,Amex,3,79.68,7.44,0,0.087221570926143,,87.12
,Mastercard,23,478.17,51.81,0,0.108867409119563,,529.98
,Visa,49,1278.45,102.17,0,0.0801239069913343,,1380.62
,,,,,,,,
,Alternate Payment Types,,,,,,,
,Wholesale Close Out,1,904.18,0,0,0,,904.18
,,,,,,,,
,,,,,,,Paid In Total,$33.35
,,,,,,,,
,,,,,,,Deposit Sales Collected,$101.92
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Soup,3,3,30,21.62,8.38,0,
,Wholesale,1,319,904.18,0,904.18,0,
,Grocery,,,,,,,
,Candy,,,,,,,
,Breakfast Pastry,52,120,629,10.84,618.16,0,
,"Cookies, Bars & Tarts",31,67,291,3,288,0,
,Cakes,3,3,96,6,90,0,
,Holiday Menus,,,,,,,
,Hot Sandwiches,5,8,122,0,122,5.4,
,Cold Sandwiches,,,,,,,
,Salads,,,,,,,
,Pizza,,,,,,,
,Merchandise,,,,,,,
,Breakfast Sandwiches,11,14,202,23.56,178.44,0,
,Cold Drinks,5,9,34.6,0,34.6,0,
,Catering,,,,,,,
,Coffee Bar,17,26,127.9,0,127.9,7.69,
,Breads,65,112,767,132.62,634.38,0,
,No Category,0,,,,0,0,
,Total,,,3203.68,197.64,3006.04,13.09 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,No Revenue Center,132,681,3203.68,197.64,3006.04,13.09,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Future Orders,22,475.46,,,,,
,Takeout,114,2530.58,,,,,
,None,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,Prepared Food,,13.09,217.9,,,,
,Non Taxable,129,,2788.14,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,$2 Bread Club Baguette,9,18,,,,,
,Comp Item,1,7,,,,,
,Rebel Bread,33,83.5,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,Bread Waste,1,17,,,,,
,Reward Dollars,5,31.34,,,,,
,Shift Meal,1,34,,,,,
,Team 20%,2,6.8,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Hours,135,"$2,101.86",,,,,
,No Service,1,$904.18,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$0.00,0,0,0.0%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$440.03,,,,,
,Cash Adjustments,,-$0.01,,,,,
,Cash before Tipouts,,$440.02,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$161.42,,,,,
,Total Cash,,$440.02,,,,,
