Sales Summary Export,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Generated 5/23/23 12:26 AM,Unnamed: 8
3/22/23 - 3/22/23,,,,,,,Common Good @ Night,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,"$1,060.50",$60.75,$0.00,$158.26,$50.00,"$1,329.51",,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,29,26,37,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,18,1096.91,158.26,0,0.15239287433798748,,1255.17
,Gift Card,4,33,0,0,0,,33
,Cash,4,41.34,0,0,0,,41.34
,Other,,,,,,,
,Total,26,1171.25,158.26,0,0.1476994867008866,,1329.51
,,,,,,,,
,Credit Types,,,,,,,
,Discover,3,121.37,22.9,0,0.19999999999999998,,144.27
,Mastercard,5,240.5,40.3,0,0.17521739130434782,,280.8
,Visa,10,735.04,95.06,0,0.13697406340057638,,830.1
,,,,,,,,
,Alternate Payment Types,,,,,,,
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Three Course Dinner,,,,,,,
,Restaurant Week,5,7,195,0,195,11.7,
,Breads,4,5,54,11,43,0,
,Desserts,1,1,12,0,12,0.72,
,Grab and Go Bar,,,,,,,
,Cold Drinks,1,1,5,0,5,0,
,Coffee Bar,2,2,8.5,0,8.5,0.51,
,Zero Proof- Bar,,,,,,,
,Entrees,1,3,87,0,87,5.22,
,Starters,4,5,50,0,50,3,
,White Wine,3,5,60,0,60,3.6,
,Red Wine,4,4,56,0,56,3.36,
,Beer,7,14,90,1.2,88.8,5.33,
,Spirits,4,4,61,0,61,3.66,
,Salads,6,8,122,19,103,6.18,
,Pasta,,,,,,,
,Pizza,10,11,297,5.8,291.2,17.47,
,No Category,0,,,,0,0,
,Total,,,1097.5,37,1060.5,60.75 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Dining Room,6,25,410,0,410,24.6,
,Bar,4,21,305,5.8,299.2,17.95,
,Online Ordering,3,10,190.5,0,190.5,11.13,
,No Revenue Center,12,14,192,31.2,160.8,7.07,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Dine In,20,797,,,,,
,Takeout,3,190.5,,,,,
,Take Out,3,73,,,,,
,,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,MI STATE TAX,,60.75,1012.5,,,,
,Non Taxable,6,,48,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,Rebel Bread,4,11,,,,,
,Team Dine-In 20%,1,5.8,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,Shift Meal,1,19,,,,,
,Team 20%,1,1.2,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Happy Hour,4,$186.00,,,,,
,Dinner,21,$869.70,,,,,
,No Service,1,$4.80,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$0.00,0,0,0.0%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$41.34,,,,,
,Cash Adjustments,,$2.41,,,,,
,Cash before Tipouts,,$43.75,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$158.26,,,,,
,Total Cash,,$43.75,,,,,
