Sales Summary Export,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Generated 5/23/23 12:22 AM,Unnamed: 8
3/14/23 - 3/14/23,,,,,,,Common Good Bakery - 537 W. 14th Street - 14th St.,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,"$2,005.82",$12.05,$0.00,$120.50,$280.00,"$2,418.37",,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,91,95,596.26,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,42,1049.74,109.66,0,0.10193818266325819,,1159.4
,Gift Card,30,277.5,0,0,0,,277.5
,Cash,16,151.04,0,0,0,,151.04
,Other,3,859.33,0,0,0,,859.33
,Total,91,2337.61,109.66,0,0.04956204973379494,,2447.27
,,,,,,,,
,Credit Types,,,,,,,
,Amex,2,91.42,0,0,0,,91.42
,Discover,1,14.84,0,0,0,,14.84
,Mastercard,17,348.24,53.68,0,0.14814405961087346,,401.92
,Visa,22,595.24,55.98,0,0.09201183431952663,,651.22
,,,,,,,,
,Alternate Payment Types,,,,,,,
,Check,2,130,0,0,0,,130
,Wholesale Close Out,1,729.33,0,0,0,,729.33
,,,,,,,,
,,,,,,,Paid In Total,$246.60
,,,,,,,,
,,,,,,,Deposit Sales Collected,$217.70
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Soup,3,3,30,16,14,0.84,
,Wholesale,1,292,729.33,0,729.33,0,
,Grocery,,,,,,,
,Candy,,,,,,,
,Breakfast Pastry,34,97,626,225.4,400.6,0,
,"Cookies, Bars & Tarts",14,43,212,9.8,202.2,0,
,Cakes,1,1,48,15.71,32.29,0,
,Holiday Menus,,,,,,,
,Hot Sandwiches,4,5,76,0,76,4.56,
,Cold Sandwiches,,,,,,,
,Salads,,,,,,,
,Pizza,,,,,,,
,Merchandise,,,,,,,
,Breakfast Sandwiches,3,4,55,0,55,0,
,Cold Drinks,4,4,18.2,0,18.2,1.1,
,Catering,,,,,,,
,Coffee Bar,19,21,97.55,4.85,92.7,5.55,
,Breads,39,95,710,324.5,385.5,0,
,No Category,0,,,,0,0,
,Total,,,2602.08,596.26,2005.82,12.05 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,No Revenue Center,90,565,2602.08,596.26,2005.82,12.05,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Future Orders,11,332.66,,,,,
,Takeout,84,1673.16,,,,,
,,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,Prepared Food,,12.05,200.9,,,,
,Non Taxable,83,,1804.92,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,$2 Bread Club Baguette,12,24,,,,,
,Rebel Bread,28,77.5,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,Birthday Rewards,1,5,,,,,
,Bread Waste,1,221,,,,,
,Comp Check,1,17,,,,,
,Food Waste,1,16,,,,,
,Pastry Waste,1,196,,,,,
,Reward Dollars,3,28.16,,,,,
,Team 20%,2,11.6,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Hours,92,"$1,269.49",,,,,
,No Service,3,$736.33,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$12.00,1,2,0.6%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$151.04,,,,,
,Cash Adjustments,,$0.96,,,,,
,Cash before Tipouts,,$152.00,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$109.66,,,,,
,Total Cash,,$152.00,,,,,
