Sales Summary Export,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Generated 5/23/23 12:29 AM,Unnamed: 8
3/29/23 - 3/29/23,,,,,,,Common Good @ Night,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,"$1,047.60",$58.66,$0.00,$161.72,$0.00,"$1,267.98",,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,26,26,40.4,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,22,1000.02,152.6,0,0.1617056448621899,,1152.62
,Gift Card,7,102,9.12,0,0.09128215393854469,,111.12
,Cash,1,4.24,0,0,0,,4.24
,Other,,,,,,,
,Total,30,1106.26,161.72,0,0.15496358758144885,,1267.98
,,,,,,,,
,Credit Types,,,,,,,
,Amex,1,30.74,0,0,0,,30.74
,Discover,1,4.34,5,0,1.2224938875305624,,9.34
,Mastercard,10,470.98,79.2,0,0.17813765182186234,,550.18
,Visa,10,493.96,68.4,0,0.14678111587982834,,562.36
,,,,,,,,
,Alternate Payment Types,,,,,,,
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Three Course Dinner,,,,,,,
,Restaurant Week,3,4,120,0,120,7.2,
,Breads,5,9,84,19,65,0,
,Desserts,2,2,24,0,24,1.44,
,Grab and Go Bar,,,,,,,
,Cold Drinks,4,5,21,0,21,0.96,
,Coffee Bar,1,1,3,0,3,0.18,
,Zero Proof- Bar,,,,,,,
,Entrees,1,1,29,0,29,1.74,
,Starters,8,15,130,0,130,7.8,
,White Wine,1,1,12,2.4,9.6,0.58,
,Red Wine,2,3,63,0,63,3.78,
,Beer,6,9,54,0,54,3.24,
,Spirits,5,8,115,0,115,6.9,
,Salads,5,5,75,19,56,3.36,
,Pasta,5,7,126,0,126,7.56,
,Pizza,8,8,232,0,232,13.92,
,No Category,0,,,,0,0,
,Total,,,1088,40.4,1047.6,58.66 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Dining Room,8,43,544,2.4,541.6,32.5,
,Bar,4,15,249,0,249,14.94,
,Online Ordering,2,3,63,0,63,3.48,
,No Revenue Center,11,17,232,38,194,7.74,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Dine In,20,869.6,,,,,
,Takeout,2,63,,,,,
,Take Out,4,115,,,,,
,,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,MI STATE TAX,,58.66,977.6,,,,
,Non Taxable,7,,70,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,$2 Bread Club Baguette,1,2,,,,,
,Mistake Discount,2,4.4,,,,,
,Rebel Bread,6,15,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,Shift Meal,1,19,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Happy Hour,12,$331.60,,,,,
,Dinner,14,$716.00,,,,,
,No Service,0,$0.00,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$65.00,3,7,6.2%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$4.24,,,,,
,Cash Adjustments,,$172.03,,,,,
,Cash before Tipouts,,$176.27,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$161.72,,,,,
,Total Cash,,$176.27,,,,,
