Sales Summary Export,,,,,,,Generated 5/19/23 8:31 PM,
2/6/23 - 2/6/23,,,,,,,Common Good @ Night,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,$30.00,$1.80,$0.00,$4.80,$0.00,$36.60,,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,3,2,0,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,2,31.8,4.8,0,0.16,,36.6
,Cash,,,,,,,
,Other,,,,,,,
,Total,2,31.8,4.8,0,0.16,,36.6
,,,,,,,,
,Credit Types,,,,,,,
,Mastercard,2,31.8,4.8,0,0.16,,36.6
,,,,,,,,
,Alternate Payment Types,,,,,,,
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Three Course Dinner,,,,,,,
,Restaurant Week,,,,,,,
,Breads,,,,,,,
,Desserts,,,,,,,
,Grab and Go Bar,,,,,,,
,Cold Drinks,,,,,,,
,Coffee Bar,,,,,,,
,Zero Proof- Bar,,,,,,,
,Entrees,,,,,,,
,Starters,,,,,,,
,White Wine,1,2,24,0,24,1.44,
,Red Wine,,,,,,,
,Beer,1,1,6,0,6,0.36,
,Spirits,,,,,,,
,Salads,,,,,,,
,Pasta,,,,,,,
,Pizza,,,,,,,
,No Category,0,,,,0,0,
,Total,,,30,0,30,1.80 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Dining Room,,,,,,,
,Bar,2,3,30,0,30,1.8,
,Online Ordering,,,,,,,
,No Revenue Center,0,,,,0,,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Dine In,2,30,,,,,
,None,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,MI STATE TAX,,1.8,30,,,,
,Non Taxable,0,,0,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Happy Hour,0,$0.00,,,,,
,Dinner,0,$0.00,,,,,
,No Service,2,$30.00,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$0.00,0,0,0.0%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$0.00,,,,,
,Cash Adjustments,,$0.00,,,,,
,Cash before Tipouts,,$0.00,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$4.80,,,,,
,Total Cash,,$0.00,,,,,
