Sales Summary Export,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Generated 5/23/23 12:22 AM,Unnamed: 8
3/16/23 - 3/16/23,,,,,,,Common Good Bakery - 1115 E. 8th Street - 8th St.,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,"$2,122.66",$59.91,$0.00,$236.10,$0.00,"$2,418.67",,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,122,124,291.64,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,81,1726.8,236.1,0,0.13909508660303993,,1962.9
,Gift Card,8,73,0,0,0,,73
,Cash,29,372.77,0,0,0,,372.77
,Other,,,,,,,
,Total,118,2172.57,236.1,0,0.13335969272480794,,2408.67
,,,,,,,,
,Credit Types,,,,,,,
,Amex,3,65.36,20.9,0,0.3291338582677165,,86.26
,Mastercard,25,558.2,75.98,0,0.14049556213017753,,634.18
,Visa,53,1103.24,139.22,0,0.12736254688500595,,1242.46
,,,,,,,,
,Alternate Payment Types,,,,,,,
,,,,,,,,
,,,,,,,Deposit Sales Collected,$10.00
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Breads,27,49,309,106.5,202.5,0,
,Breakfast Pastry,60,124,779,125.42,653.58,0,
,Breakfast Sandwiches,17,18,248,13,235,14.1,
,Cakes,1,1,48,5.4,42.6,0,
,Catering,,,,,,,
,Coffee Bar,47,55,251.5,19.12,232.38,13.95,
,Cold Drinks,9,12,52.8,8.2,44.6,2.4,
,Cold Sandwiches,,,,,,,
,"Cookies, Bars & Tarts",31,51,221,0,221,0,
,Hot Sandwiches,22,32,486,14,472,28.32,
,Holiday Menus,,,,,,,
,Grocery,,,,,,,
,Merchandise,,,,,,,
,Wholesale,,,,,,,
,Salads,,,,,,,
,Red Wine,1,1,12,0,12,0.72,
,White Wine,,,,,,,
,Beer,1,1,7,0,7,0.42,
,Spirits,,,,,,,
,Pizza,,,,,,,
,Soup,,,,,,,
,Toasts & Tartines,,,,,,,
,No Category,0,,,,0,0,
,Total,,,2414.3,291.64,2122.66,59.91 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Dining Room,,,,,,,
,Bar,,,,,,,
,Online Ordering,6,14,162,0,162,8.22,
,No Revenue Center,118,330,2252.3,291.64,1960.66,51.69,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Dine In,40,828.69,,,,,
,Takeout,84,1293.97,,,,,
,,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,Prepared Food,,59.91,997.98,,,,
,Non Taxable,100,,1124.68,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,$2 Bread Club Baguette,4,10,,,,,
,Rebel Bread,6,21,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,Birthday Rewards,1,5,,,,,
,Bread Waste,1,74,,,,,
,Pastry Waste,1,73,,,,,
,Reward Dollars,4,50.74,,,,,
,Shift Meal,2,55.2,,,,,
,Teachers 20%,1,2.7,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Hours,39,$735.70,,,,,
,Dinner,9,$86.50,,,,,
,Lunch,68,"$1,192.44",,,,,
,No Service,8,$108.02,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$14.00,1,2,0.7%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$372.77,,,,,
,Cash Adjustments,,$4.63,,,,,
,Cash before Tipouts,,$377.40,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$236.10,,,,,
,Total Cash,,$377.40,,,,,
