Sales Summary Export,,,,,,,Generated 5/19/23 6:45 PM,
1/17/23 - 1/17/23,,,,,,,Common Good Bakery - 537 W. 14th Street - 14th St.,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,"$2,263.29",$8.21,$0.00,$160.83,$220.00,"$2,652.33",,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,124,129,670.29,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,63,1355.73,152.73,0,0.110585764969951,,1508.46
,Gift Card,41,378.5,0,0,0,,378.5
,Cash,20,259.99,0,0,0,,259.99
,Other,1,437.38,0,0,0,,437.38
,Total,125,2431.6,152.73,0,0.0695181567424374,,2584.33
,,,,,,,,
,Credit Types,,,,,,,
,Discover,1,42,6.3,0,0.15,,48.3
,Mastercard,20,368.7,32.67,0,0.0856468737711365,,401.37
,Visa,42,945.03,113.76,0,0.118790789954576,,1058.79
,,,,,,,,
,Alternate Payment Types,,,,,,,
,Wholesale Close Out,1,437.38,0,0,0,,437.38
,,,,,,,,
,,,,,,,Paid In Total,$109.90
,,,,,,,,
,,,,,,,Deposit Sales Collected,$177.90
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Soup,1,1,16,0,16,0,
,Wholesale,1,297,437.38,0,437.38,0,
,Grocery,,,,,,,
,Candy,,,,,,,
,Breakfast Pastry,45,114,589,10.58,578.42,0,
,"Cookies, Bars & Tarts",21,51,191,6.61,184.39,0,
,Cakes,,,,,,,
,Holiday Menus,,,,,,,
,Hot Sandwiches,3,5,78,16,62,3.72,
,Cold Sandwiches,1,1,14,2.8,11.2,0,
,Salads,,,,,,,
,Pizza,,,,,,,
,Merchandise,,,,,,,
,Breakfast Sandwiches,8,9,119,2.8,116.2,0,
,Cold Drinks,3,3,12.3,0.82,11.48,0,
,Catering,,,,,,,
,Coffee Bar,12,18,74.9,0,74.9,4.49,
,Breads,79,187,1370,630.68,739.32,0,
,No Category,1,2,32,0,32,0,
,Total,,,2933.58,670.29,2263.29,8.21 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,No Revenue Center,126,688,2933.58,670.29,2263.29,8.21,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Future Orders,2,41.5,,,,,
,Takeout,127,2221.79,,,,,
,None,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,Prepared Food,,8.21,136.9,,,,
,Non Taxable,125,,2126.39,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,$2 Bread Club Baguette,12,26,,,,,
,Rebel Bread,34,104,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,20% - Teachers,1,4.4,,,,,
,Birthday Rewards,1,5,,,,,
,Bread Waste,1,489.5,,,,,
,Reward Dollars,2,13.57,,,,,
,Shift Meal,1,16,,,,,
,Team 20%,1,9,,,,,
,Veterans 20%,1,2.82,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Hours,128,"$1,825.91",,,,,
,No Service,1,$437.38,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$7.00,1,1,0.3%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$259.99,,,,,
,Cash Adjustments,,-$0.98,,,,,
,Cash before Tipouts,,$259.01,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$152.73,,,,,
,Total Cash,,$259.01,,,,,
