Sales Summary Export,,,,,,,Generated 5/19/23 8:26 PM,
1/25/23 - 1/25/23,,,,,,,Common Good Bakery - 537 W. 14th Street - 14th St.,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,"$1,871.71",$8.18,$0.00,$130.08,$270.00,"$2,279.97",,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,103,105,564.21,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,51,1016.62,127.73,0,0.117058909784083,,1144.35
,Gift Card,26,215.53,0,0,0,,215.53
,Cash,28,335.75,0,0,0,,335.75
,Other,1,593.77,0,0,0,,593.77
,Total,106,2161.67,127.73,0,0.0672553417790836,,2289.4
,,,,,,,,
,Credit Types,,,,,,,
,Amex,5,87.68,19.3,0,0.166379310344828,,106.98
,Discover,4,49.49,5.69,0,0.116241062308478,,55.18
,Mastercard,9,122.22,16.93,0,0.13309748427673,,139.15
,Visa,33,757.23,85.81,0,0.10739540180974,,843.04
,,,,,,,,
,Alternate Payment Types,,,,,,,
,Wholesale Close Out,1,593.77,0,0,0,,593.77
,,,,,,,,
,,,,,,,Paid In Total,$126.93
,,,,,,,,
,,,,,,,Deposit Sales Collected,$117.50
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Soup,,,,,,,
,Wholesale,1,255,593.77,0,593.77,0,
,Grocery,,,,,,,
,Candy,,,,,,,
,Breakfast Pastry,43,111,593,163.6,429.4,0,
,"Cookies, Bars & Tarts",28,54,202,41.77,160.23,0,
,Cakes,,,,,,,
,Holiday Menus,,,,,,,
,Hot Sandwiches,3,3,48,0,48,2.88,
,Cold Sandwiches,,,,,,,
,Salads,,,,,,,
,Pizza,,,,,,,
,Merchandise,,,,,,,
,Breakfast Sandwiches,4,6,84,0,84,0,
,Cold Drinks,2,2,8.2,0,8.2,0,
,Catering,,,,,,,
,Coffee Bar,14,18,88.45,0,88.45,5.3,
,Breads,41,108,722.5,350,372.5,0,
,No Category,5,6,96,8.84,87.16,0,
,Total,,,2435.92,564.21,1871.71,8.18 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,No Revenue Center,102,563,2435.92,564.21,1871.71,8.18,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Future Orders,10,225.51,,,,,
,Takeout,95,1646.2,,,,,
,None,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,Prepared Food,,8.18,136.45,,,,
,Non Taxable,96,,1735.26,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,$2 Bread Club Baguette,4,16,,,,,
,BIG Mistake Discount,13,88,,,,,
,Rebel Bread,19,57.5,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,Active Service 20%,1,1,,,,,
,Bread Waste,1,246,,,,,
,Pastry Waste,1,68,,,,,
,Reward Dollars,4,65.71,,,,,
,Team 20%,2,20,,,,,
,Veterans 20%,1,2,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Hours,101,"$1,207.54",,,,,
,No Service,4,$664.17,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$10.00,1,2,0.5%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$335.75,,,,,
,Cash Adjustments,,$1.39,,,,,
,Cash before Tipouts,,$337.14,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$127.73,,,,,
,Total Cash,,$337.14,,,,,
