Sales Summary Export,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Generated 5/22/23 6:18 PM,Unnamed: 8
2/15/23 - 2/15/23,,,,,,,Common Good Bakery - 1115 E. 8th Street - 8th St.,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,"$1,526.58",$33.17,$0.00,$124.09,$500.00,"$2,183.84",,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,100,102,264.57,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,62,1559.47,124.09,0,0.07981963554028933,,1683.56
,Gift Card,17,126.18,0,0,0,,126.18
,Cash,30,374.1,0,0,0,,374.1
,Other,,,,,,,
,Total,109,2059.75,124.09,0,0.07386001773735619,,2183.84
,,,,,,,,
,Credit Types,,,,,,,
,Amex,6,121.4,10.7,0,0.09060118543607112,,132.1
,Mastercard,17,471.58,28.04,0,0.0590564448188711,,499.62
,Visa,39,966.49,85.35,0,0.08874632173271084,,1051.84
,,,,,,,,
,Alternate Payment Types,,,,,,,
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Breads,31,52,289.5,42,247.5,0,
,Breakfast Pastry,50,121,628,165,463,0,
,Breakfast Sandwiches,10,13,183,31,152,9.12,
,Cakes,2,2,66,0,66,0,
,Catering,,,,,,,
,Coffee Bar,32,43,190.85,6.29,184.56,11.08,
,Cold Drinks,9,10,42.8,10.81,31.99,0,
,Cold Sandwiches,,,,,,,
,"Cookies, Bars & Tarts",20,44,169,3.63,165.37,0,
,Hot Sandwiches,13,15,222,5.84,216.16,12.97,
,Holiday Menus,,,,,,,
,Grocery,,,,,,,
,Merchandise,,,,,,,
,Wholesale,,,,,,,
,Salads,,,,,,,
,Red Wine,,,,,,,
,White Wine,,,,,,,
,Beer,,,,,,,
,Spirits,,,,,,,
,Pizza,,,,,,,
,Soup,,,,,,,
,Toasts & Tartines,,,,,,,
,No Category,0,,,,0,0,
,Total,,,1791.15,264.57,1526.58,33.17 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Dining Room,,,,,,,
,Bar,,,,,,,
,Online Ordering,2,13,46,0,46,0.84,
,No Revenue Center,96,287,1745.15,264.57,1480.58,32.33,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Dine In,21,416.35,,,,,
,Takeout,81,1110.23,,,,,
,,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,Prepared Food,,33.17,552.72,,,,
,Non Taxable,85,,973.86,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,$2 Bread Club Baguette,3,6,,,,,
,Rebel Bread,13,33,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,Birthday Rewards,1,5,,,,,
,Pastry Waste,1,156,,,,,
,Reward Dollars,3,16.77,,,,,
,Shift Meal,1,45.1,,,,,
,Teachers 20%,1,2.7,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Hours,33,$440.40,,,,,
,Lunch,61,"$1,005.28",,,,,
,No Service,8,$80.90,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$24.00,2,5,1.6%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$374.10,,,,,
,Cash Adjustments,,$1.75,,,,,
,Cash before Tipouts,,$375.85,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$124.09,,,,,
,Total Cash,,$375.85,,,,,
