Sales Summary Export,,,,,,,Generated 5/19/23 8:26 PM,
1/26/23 - 1/26/23,,,,,,,Common Good @ Night,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,"$1,424.60",$82.20,$0.00,$246.80,$100.00,"$1,853.60",,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,36,36,64.9,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,29,1482.56,242.8,0,0.170685413005272,,1725.36
,Gift Card,3,53.22,4,0,0.0761904761904762,,57.22
,Cash,3,71.02,0,0,0,,71.02
,Other,,,,,,,
,Total,35,1606.8,246.8,0,0.167322033898305,,1853.6
,,,,,,,,
,Credit Types,,,,,,,
,Amex,5,283.02,49.7,0,0.186142322097378,,332.72
,Discover,1,14.84,0,0,0,,14.84
,Mastercard,7,276.45,49.8,0,0.184444444444444,,326.25
,Visa,16,908.25,143.3,0,0.164429145152037,,1051.55
,,,,,,,,
,Alternate Payment Types,,,,,,,
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Three Course Dinner,,,,,,,
,Restaurant Week,,,,,,,
,Breads,4,6,60,9.5,50.5,0,
,Desserts,9,18,86,0,86,5.16,
,Grab and Go Bar,,,,,,,
,Cold Drinks,5,6,26,0,26,1.56,
,Coffee Bar,1,1,3,0,3,0.18,
,Zero Proof- Bar,4,4,28,0,28,1.68,
,Entrees,1,1,29,0,29,1.74,
,Starters,10,13,137,12,125,7.5,
,White Wine,3,4,48,0,48,2.88,
,Red Wine,3,4,56,0,56,3.36,
,Beer,8,21,117,6.2,110.8,6.65,
,Spirits,2,3,45,0,45,2.7,
,Salads,5,5,77,2.27,74.73,4.48,
,Pasta,6,13,268,0,268,16.08,
,Pizza,17,18,505.5,34.93,470.57,28.23,
,No Category,1,1,4,0,4,0,
,Total,,,1489.5,64.9,1424.6,82.20 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Dining Room,10,55,709,0,709,42.3,
,Bar,9,29,376,9.2,366.8,22.01,
,Online Ordering,,,,,,,
,No Revenue Center,16,34,404.5,55.7,348.8,17.89,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Dine In,30,1241.3,,,,,
,Take Out,6,183.3,,,,,
,None,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,MI STATE TAX,,82.2,1370.1,,,,
,Non Taxable,6,,54.5,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,Mistake Discount,1,2,,,,,
,Rebel Bread Loaf,3,7.5,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,Reward Dollars,1,8.2,,,,,
,Shift Meal,1,38,,,,,
,Team Discount - 20%,1,9.2,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Happy Hour,12,$309.50,,,,,
,Dinner,23,"$1,110.10",,,,,
,No Service,1,$5.00,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$0.00,0,0,0.0%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$71.02,,,,,
,Cash Adjustments,,$1.89,,,,,
,Cash before Tipouts,,$72.91,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$246.80,,,,,
,Total Cash,,$72.91,,,,,
