Sales Summary Export,,,,,,,Generated 5/19/23 8:28 PM,
1/29/23 - 1/29/23,,,,,,,Common Good Bakery - 537 W. 14th Street - 14th St.,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,"$1,732.66",$8.60,$0.00,$116.04,$0.00,"$1,857.30",,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,83,91,789.24,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,46,879.93,101.24,0,0.112551417454141,,981.17
,Gift Card,19,163,0,0,0,,163
,Cash,19,208.43,0,0,0,,208.43
,Other,1,415.9,0,0,0,,415.9
,Total,85,1667.26,101.24,0,0.0684794372294372,,1768.5
,,,,,,,,
,Credit Types,,,,,,,
,Amex,2,39,3,0,0.0769230769230769,,42
,Discover,2,35,2.5,0,0.0714285714285714,,37.5
,Mastercard,16,256.82,29.94,0,0.117688679245283,,286.76
,Visa,26,549.11,65.8,0,0.115216249343372,,614.91
,,,,,,,,
,Alternate Payment Types,,,,,,,
,Wholesale Close Out,1,415.9,0,0,0,,415.9
,,,,,,,,
,,,,,,,Deposit Sales Collected,$88.80
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Soup,,,,,,,
,Wholesale,1,129,415.9,0,415.9,0,
,Grocery,,,,,,,
,Candy,,,,,,,
,Breakfast Pastry,46,123,645,200.73,444.27,0,
,"Cookies, Bars & Tarts",14,27,125,0,125,0,
,Cakes,,,,,,,
,Holiday Menus,,,,,,,
,Hot Sandwiches,2,2,30,14,16,0.96,
,Cold Sandwiches,,,,,,,
,Salads,,,,,,,
,Pizza,,,,,,,
,Merchandise,,,,,,,
,Breakfast Sandwiches,8,12,174,7.48,166.52,0,
,Cold Drinks,3,4,16.4,0,16.4,0,
,Catering,,,,,,,
,Coffee Bar,18,25,131.1,3.93,127.17,7.64,
,Breads,44,119,952.5,563.1,389.4,0,
,No Category,2,2,32,0,32,0,
,Total,,,2521.9,789.24,1732.66,8.60 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,No Revenue Center,91,443,2521.9,789.24,1732.66,8.6,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Future Orders,13,351.02,,,,,
,Takeout,78,1381.64,,,,,
,None,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,Prepared Food,,8.6,143.17,,,,
,Non Taxable,88,,1589.49,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,$2 Bread Club Baguette,3,6,,,,,
,Rebel Bread,18,45,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,Birthday Rewards,1,5,,,,,
,Bread Waste,1,477,,,,,
,Pastry Waste,1,172,,,,,
,Reward Dollars,3,30.14,,,,,
,Shift Meal,1,52.5,,,,,
,Team 20%,1,1.6,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Hours,90,"$1,316.76",,,,,
,No Service,1,$415.90,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$24.00,2,4,1.4%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$208.43,,,,,
,Cash Adjustments,,$0.48,,,,,
,Cash before Tipouts,,$208.91,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$101.24,,,,,
,Total Cash,,$208.91,,,,,
