Sales Summary Export,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Generated 5/22/23 6:14 PM,Unnamed: 8
2/8/23 - 2/8/23,,,,,,,Common Good Bakery - 537 W. 14th Street - 14th St.,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,"$2,028.25",$16.54,$0.00,$114.00,$200.00,"$2,358.79",,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,102,104,261.44,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,55,1153.33,106.2,0,0.0918605656950091,,1259.53
,Gift Card,25,223.81,0,0,0,,223.81
,Cash,19,252.34,0,0,0,,252.34
,Other,1,579.84,0,0,0,,579.84
,Total,100,2209.32,106.2,0,0.05413699412241486,,2315.52
,,,,,,,,
,Credit Types,,,,,,,
,Amex,6,110.45,8.85,0,0.0815668202764977,,119.3
,Discover,1,18,1.44,0,0.08,,19.44
,Mastercard,20,483.37,36.21,0,0.07481404958677686,,519.58
,Visa,28,541.51,59.7,0,0.1094208211143695,,601.21
,,,,,,,,
,Alternate Payment Types,,,,,,,
,Wholesale Close Out,1,579.84,0,0,0,,579.84
,,,,,,,,
,,,,,,,Deposit Sales Collected,$43.27
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Soup,6,7,49,7.7,41.3,0,
,Wholesale,1,306,579.84,0,579.84,0,
,Grocery,,,,,,,
,Candy,,,,,,,
,Breakfast Pastry,39,82,428,20.65,407.35,0,
,"Cookies, Bars & Tarts",12,18,82,4.35,77.65,0,
,Cakes,1,1,30,0,30,0,
,Holiday Menus,,,,,,,
,Hot Sandwiches,11,21,318,19,299,12.28,
,Cold Sandwiches,,,,,,,
,Salads,,,,,,,
,Pizza,,,,,,,
,Merchandise,,,,,,,
,Breakfast Sandwiches,4,6,76,0,76,0,
,Cold Drinks,4,4,21.1,0,21.1,0.42,
,Catering,,,,,,,
,Coffee Bar,12,16,64.25,0,64.25,3.84,
,Breads,49,91,641.5,209.74,431.76,0,
,No Category,0,,,,0,0,
,Total,,,2289.69,261.44,2028.25,16.54 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,No Revenue Center,102,552,2289.69,261.44,2028.25,16.54,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Future Orders,8,283.23,,,,,
,Takeout,96,1745.02,,,,,
,,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,Prepared Food,,16.54,275.85,,,,
,Non Taxable,95,,1752.4,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,$2 Bread Club Baguette,7,14,,,,,
,Rebel Bread,21,58,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,10% Munson,2,4,,,,,
,Bread Waste,1,107,,,,,
,Promotional,1,12,,,,,
,Reward Dollars,3,28.04,,,,,
,Shift Meal,1,33,,,,,
,Team 20%,2,5.4,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Hours,104,"$2,028.25",,,,,
,No Service,0,$0.00,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$0.00,0,0,0.0%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$252.34,,,,,
,Cash Adjustments,,-$0.42,,,,,
,Cash before Tipouts,,$251.92,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$106.20,,,,,
,Total Cash,,$251.92,,,,,
