Sales Summary Export,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Generated 5/22/23 6:11 PM,Unnamed: 8
2/7/23 - 2/7/23,,,,,,,Common Good @ Night,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,$10.00,$0.60,$0.00,$0.00,$0.00,$10.60,,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,1,1,0,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,1,10.6,0,0,0,,10.6
,Cash,,,,,,,
,Other,,,,,,,
,Total,1,10.6,0,0,0,,10.6
,,,,,,,,
,Credit Types,,,,,,,
,Visa,1,10.6,0,0,0,,10.6
,,,,,,,,
,Alternate Payment Types,,,,,,,
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Three Course Dinner,,,,,,,
,Restaurant Week,,,,,,,
,Breads,,,,,,,
,Desserts,,,,,,,
,Grab and Go Bar,,,,,,,
,Cold Drinks,,,,,,,
,Coffee Bar,,,,,,,
,Zero Proof- Bar,,,,,,,
,Entrees,,,,,,,
,Starters,,,,,,,
,White Wine,,,,,,,
,Red Wine,,,,,,,
,Beer,1,2,10,0,10,0.6,
,Spirits,,,,,,,
,Salads,,,,,,,
,Pasta,,,,,,,
,Pizza,,,,,,,
,No Category,0,,,,0,0,
,Total,,,10,0,10,0.60 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Dining Room,,,,,,,
,Bar,,,,,,,
,Online Ordering,,,,,,,
,No Revenue Center,1,2,10,0,10,0.6,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Dine In,1,10,,,,,
,,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,MI STATE TAX,,0.6,10,,,,
,Non Taxable,0,,0,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Happy Hour,0,$0.00,,,,,
,Dinner,0,$0.00,,,,,
,No Service,1,$10.00,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$0.00,0,0,0.0%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$0.00,,,,,
,Cash Adjustments,,$0.00,,,,,
,Cash before Tipouts,,$0.00,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$0.00,,,,,
,Total Cash,,$0.00,,,,,
