Sales Summary Export,,,,,,,Generated 5/19/23 6:42 PM,
1/11/23 - 1/11/23,,,,,,,Common Good @ Night,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,"$1,428.70",$85.74,$0.00,$470.48,$0.00,"$1,984.92",,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,45,41,2756.35,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,29,1493.77,470.48,0,0.331650923445651,,1964.25
,Cash,3,20.67,0,0,0,,20.67
,Other,,,,,,,
,Total,32,1514.44,470.48,0,0.331650923445651,,1984.92
,,,,,,,,
,Credit Types,,,,,,,
,Amex,11,695.74,198.08,0,0.301785605460418,,893.82
,Mastercard,6,365.92,114.2,0,0.330822711471611,,480.12
,Visa,12,432.11,158.2,0,0.379340111260311,,590.31
,,,,,,,,
,Alternate Payment Types,,,,,,,
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Three Course Dinner,,,,,,,
,Restaurant Week,,,,,,,
,Breads,,,,,,,
,Desserts,,,,,,,
,Grab and Go Bar,,,,,,,
,Cold Drinks,,,,,,,
,Coffee Bar,,,,,,,
,Zero Proof- Bar,,,,,,,
,Entrees,,,,,,,
,Starters,,,,,,,
,White Wine,,,,,,,
,Red Wine,,,,,,,
,Beer,,,,,,,
,Spirits,,,,,,,
,Salads,,,,,,,
,Pasta,,,,,,,
,Pizza,,,,,,,
,No Category,32,253,4185.05,2756.35,1428.7,85.74,
,Total,,,4185.05,2756.35,1428.7,85.74 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Dining Room,16,123,1967.4,1411,556.4,33.4,
,Bar,15,129,2211.65,1339.35,872.3,52.34,
,Online Ordering,,,,,,,
,No Revenue Center,1,1,6,6,0,0,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Dine In,41,1428.7,,,,,
,None,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,MI STATE TAX,,85.74,1428.7,,,,
,Non Taxable,29,,0,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,Comp Item,137,2740.95,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,Shift Meal,1,6,,,,,
,Team Discount - 20%,1,9.4,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Happy Hour,4,$0.00,,,,,
,Dinner,37,"$1,428.70",,,,,
,No Service,0,$0.00,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$834.01,14,50,58.4%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$20.67,,,,,
,Cash Adjustments,,$17.40,,,,,
,Cash before Tipouts,,$38.07,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$470.48,,,,,
,Total Cash,,$38.07,,,,,
