Sales Summary Export,,,,,,,Generated 5/19/23 6:44 PM,
1/14/23 - 1/14/23,,,,,,,Common Good Bakery - 537 W. 14th Street - 14th St.,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,"$3,027.84",$7.04,$0.00,$183.31,$500.00,"$3,718.19",,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,148,151,511.34,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,87,2240.76,180.31,0,0.0798450127310971,,2421.07
,Gift Card,45,470.41,0,0,0,,470.41
,Cash,21,225.27,0,0,0,,225.27
,Other,1,629.43,0,0,0,,629.43
,Total,154,3565.87,180.31,0,0.0537018891413833,,3746.18
,,,,,,,,
,Credit Types,,,,,,,
,Amex,9,328.45,27.65,0,0.0843630816170862,,356.1
,Discover,1,15,0,0,0,,15
,Mastercard,25,539.55,41.26,0,0.0763508512213175,,580.81
,Visa,52,1357.76,111.4,0,0.0810122900152716,,1469.16
,,,,,,,,
,Alternate Payment Types,,,,,,,
,Wholesale Close Out,1,629.43,0,0,0,,629.43
,,,,,,,,
,,,,,,,Paid In Total,$72.50
,,,,,,,,
,,,,,,,Deposit Sales Collected,$44.51
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Soup,1,1,7,0,7,0.42,
,Wholesale,1,265,629.43,0,629.43,0,
,Grocery,,,,,,,
,Candy,,,,,,,
,Breakfast Pastry,58,212,1108,219,889,0,
,"Cookies, Bars & Tarts",26,56,228,0,228,0,
,Cakes,2,2,47,0,47,0,
,Holiday Menus,,,,,,,
,Hot Sandwiches,4,5,74,30,44,2.64,
,Cold Sandwiches,2,2,28,0,28,0,
,Salads,,,,,,,
,Pizza,,,,,,,
,Merchandise,,,,,,,
,Breakfast Sandwiches,14,25,327,38.25,288.75,0,
,Cold Drinks,2,2,4.1,0,4.1,0,
,Catering,,,,,,,
,Coffee Bar,10,15,66.65,0,66.65,3.98,
,Breads,81,150,1020,224.09,795.91,0,
,No Category,0,,,,0,0,
,Total,,,3539.18,511.34,3027.84,7.04 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,No Revenue Center,147,735,3539.18,511.34,3027.84,7.04,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Future Orders,1,20.51,,,,,
,Takeout,149,2377.9,,,,,
,Wholesale,1,629.43,,,,,
,None,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,Prepared Food,,7.04,117.65,,,,
,Non Taxable,142,,2910.19,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,$2 Bread Club Baguette,10,22,,,,,
,Rebel Bread,40,108,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,10% Munson,1,3,,,,,
,Bread Waste,1,70,,,,,
,Pastry Waste,1,196,,,,,
,Reward Dollars,3,18.34,,,,,
,Shift Meal,1,63,,,,,
,Team 20%,3,22.2,,,,,
,Veterans 20%,1,8.8,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Hours,151,"$3,027.84",,,,,
,No Service,0,$0.00,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$27.00,3,4,0.9%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$225.27,,,,,
,Cash Adjustments,,-$4.51,,,,,
,Cash before Tipouts,,$220.76,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$180.31,,,,,
,Total Cash,,$220.76,,,,,
