Sales Summary Export,,,,,,,Generated 5/19/23 6:47 PM,
1/19/23 - 1/19/23,,,,,,,Common Good @ Night,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,"$1,870.20",$111.50,$0.00,$324.96,$0.00,"$2,306.66",,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,47,46,7,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,41,1912.8,324.96,0,0.179498226891592,,2237.76
,Gift Card,1,8.48,0,0,0,,8.48
,Cash,5,60.42,0,0,0,,60.42
,Other,,,,,,,
,Total,47,1981.7,324.96,0,0.17851217877586,,2306.66
,,,,,,,,
,Credit Types,,,,,,,
,Amex,7,378.42,70.8,0,0.198319327731092,,449.22
,Discover,1,43.46,4,0,0.0975609756097561,,47.46
,Mastercard,14,716.56,115.84,0,0.170102790014684,,832.4
,Visa,19,774.36,134.32,0,0.183652820695124,,908.68
,,,,,,,,
,Alternate Payment Types,,,,,,,
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Three Course Dinner,,,,,,,
,Restaurant Week,,,,,,,
,Breads,1,1,4,0,4,0.24,
,Desserts,3,5,32,0,32,1.92,
,Grab and Go Bar,,,,,,,
,Cold Drinks,3,3,13.2,0,13.2,0.8,
,Coffee Bar,1,1,3,0,3,0.18,
,Zero Proof- Bar,2,2,18,0,18,1.08,
,Entrees,4,4,116,0,116,6.96,
,Starters,17,21,252,3,249,14.94,
,White Wine,5,6,97,0,97,5.82,
,Red Wine,8,12,214,0,214,12.84,
,Beer,16,25,126,2,124,7.44,
,Spirits,3,4,54,0,54,3.24,
,Salads,13,16,213,0,213,12.78,
,Pasta,10,11,219,0,219,13.14,
,Pizza,14,17,455,0,455,27.3,
,No Category,7,7,61,2,59,2.82,
,Total,,,1877.2,7,1870.2,111.50 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Dining Room,15,54,802.1,0,802.1,47.77,
,Bar,18,59,760.1,5,755.1,44.95,
,Online Ordering,,,,,,,
,No Revenue Center,11,22,315,2,313,18.78,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Dine In,43,1756.2,,,,,
,Take Out,3,114,,,,,
,None,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,MI STATE TAX,,111.5,1858.2,,,,
,Non Taxable,2,,12,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,Teacher/School- 20%,1,2,,,,,
,Team Discount - 20%,1,5,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Happy Hour,11,$397.20,,,,,
,Dinner,35,"$1,473.00",,,,,
,No Service,0,$0.00,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$14.00,3,3,0.7%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$60.42,,,,,
,Cash Adjustments,,-$33.08,,,,,
,Cash before Tipouts,,$27.34,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$324.96,,,,,
,Total Cash,,$27.34,,,,,
