Sales Summary Export,,,,,,,Generated 5/19/23 6:40 PM,
1/7/23 - 1/7/23,,,,,,,Common Good Bakery - 537 W. 14th Street - 14th St.,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,"$2,929.96",$10.96,$0.00,$172.63,$450.00,"$3,563.55",,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,144,147,615.56,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,82,1985.71,175.73,0,0.0871477738214495,,2161.44
,Gift Card,44,347.5,0,0,0,,347.5
,Cash,22,297.44,0,0,0,,297.44
,Other,1,836.17,0,0,0,,836.17
,Total,149,3466.82,175.73,0,0.0549133941433629,,3642.55
,,,,,,,,
,Credit Types,,,,,,,
,Amex,4,88.16,15.25,0,0.174285714285714,,103.41
,Discover,6,115,11.8,0,0.1,,126.8
,Mastercard,29,568.24,65.57,0,0.112477700013723,,633.81
,Visa,43,1214.31,83.11,0,0.0676791530944625,,1297.42
,,,,,,,,
,Alternate Payment Types,,,,,,,
,Wholesale Close Out,1,836.17,0,0,0,,836.17
,,,,,,,,
,,,,,,,Paid In Total,$134.10
,,,,,,,,
,,,,,,,Deposit Sales Collected,$55.10
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Soup,,,,,,,
,Wholesale,1,313,836.17,0,836.17,0,
,Grocery,,,,,,,
,Candy,,,,,,,
,Breakfast Pastry,60,193,1012,338.14,673.86,0,
,"Cookies, Bars & Tarts",26,57,260,26.33,233.67,0,
,Cakes,1,1,30,0,30,0,
,Holiday Menus,,,,,,,
,Hot Sandwiches,4,5,78,0,78,4.68,
,Cold Sandwiches,3,3,42,0,42,0,
,Salads,,,,,,,
,Pizza,,,,,,,
,Merchandise,,,,,,,
,Breakfast Sandwiches,9,19,241,13.26,227.74,0,
,Cold Drinks,,,,,,,
,Catering,,,,,,,
,Coffee Bar,16,24,108.35,3.53,104.82,6.28,
,Breads,80,161,938,234.3,703.7,0,
,No Category,0,,,,0,0,
,Total,,,3545.52,615.56,2929.96,10.96 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,No Revenue Center,145,776,3545.52,615.56,2929.96,10.96,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Takeout,146,2929.96,,,,,
,None,1,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,Prepared Food,,10.96,182.82,,,,
,Non Taxable,141,,2747.14,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,$2 Bread Club Baguette,8,18,,,,,
,Rebel Bread,35,95,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,10% Munson,1,1,,,,,
,Birthday Rewards,1,5,,,,,
,Bread Waste,1,116.5,,,,,
,Pastry Waste,1,307,,,,,
,Reward Dollars,6,63.51,,,,,
,Team 20%,3,9.55,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Hours,143,"$2,086.29",,,,,
,No Service,4,$843.67,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$0.00,0,0,0.0%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$297.44,,,,,
,Cash Adjustments,,-$0.30,,,,,
,Cash before Tipouts,,$297.14,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$175.73,,,,,
,Total Cash,,$297.14,,,,,
