Sales Summary Export,,,,,,,Generated 5/19/23 8:27 PM,
1/28/23 - 1/28/23,,,,,,,Common Good @ Night,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,"$3,520.55",$209.16,$0.00,$534.30,$0.00,"$4,264.01",,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,63,61,74.4,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,58,3547.49,534.3,0,0.158837746483898,,4081.79
,Gift Card,1,16.5,0,0,0,,16.5
,Cash,3,165.72,0,0,0,,165.72
,Other,,,,,,,
,Total,62,3729.71,534.3,0,0.15806242622718,,4264.01
,,,,,,,,
,Credit Types,,,,,,,
,Amex,8,381.12,68.8,0,0.191111111111111,,449.92
,Mastercard,19,927.91,127.77,0,0.143320246775098,,1055.68
,Visa,31,2238.46,337.73,0,0.15988656967964,,2576.19
,,,,,,,,
,Alternate Payment Types,,,,,,,
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Three Course Dinner,,,,,,,
,Restaurant Week,,,,,,,
,Breads,4,6,39,4.5,34.5,0,
,Desserts,18,31,178,4.2,173.8,10.43,
,Grab and Go Bar,,,,,,,
,Cold Drinks,4,4,16,0.5,15.5,0.93,
,Coffee Bar,1,2,12.45,0,12.45,0.75,
,Zero Proof- Bar,7,13,97,10,87,5.22,
,Entrees,6,6,174,0,174,10.44,
,Starters,19,22,288,0.6,287.4,17.24,
,White Wine,9,9,146,1.6,144.4,8.66,
,Red Wine,10,10,236,0,236,14.16,
,Beer,12,32,180,1.5,178.5,10.71,
,Spirits,11,18,273,3,270,16.2,
,Salads,21,27,371,13.2,357.8,21.47,
,Pasta,12,20,396,3.8,392.2,23.53,
,Pizza,34,42,1188.5,31.5,1157,69.42,
,No Category,0,,,,0,0,
,Total,,,3594.95,74.4,3520.55,209.16 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Dining Room,20,109,1664,2.8,1661.2,99.68,
,Bar,17,81,1085.45,26.1,1059.35,63.55,
,Online Ordering,,,,,,,
,No Revenue Center,24,52,845.5,45.5,800,45.93,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Dine In,51,3018.05,,,,,
,Takeout,1,43,,,,,
,Take Out,9,459.5,,,,,
,None,0,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,MI STATE TAX,,209.16,3486.05,,,,
,Non Taxable,6,,34.5,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,Baguette- Rebel Bread,1,2,,,,,
,Comp Item,1,10,,,,,
,Mistake Discount,2,2.8,,,,,
,Rebel Bread Loaf,1,2.5,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,Munson Discount- 10%,1,8.5,,,,,
,Shift Meal,1,41,,,,,
,Team Discount - 20%,1,7.6,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Happy Hour,8,$324.50,,,,,
,Dinner,50,"$3,156.05",,,,,
,No Service,3,$40.00,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$56.00,3,3,1.6%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$165.72,,,,,
,Cash Adjustments,,$0.00,,,,,
,Cash before Tipouts,,$165.72,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$534.30,,,,,
,Total Cash,,$165.72,,,,,
