Sales Summary Export,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Generated 5/22/23 6:21 PM,Unnamed: 8
2/23/23 - 2/23/23,,,,,,,Common Good Bakery - 1115 E. 8th Street - 8th St.,
,,,,,,,,
Sales Summary,Net Sales,Tax,Gratuity,Tips,Deferred,Total,,
,"$1,230.19",$33.32,$0.00,$123.53,$100.00,"$1,487.04",,
,,,,,,,,
,Guest Count,Order Count,Discounts,Tips Withheld,Tips Refunded,,,
,81,80,409.71,$0.00,$0.00,,,
,,,,,,,,
,,,,,,,,
Payment Summary,Payment Type,Count,Amount,Tips,Gratuity,Tip/Grat %,Refunds,Total
,Credit,45,1082.28,133.53,0,0.12256643260360732,,1215.81
,Gift Card,12,79,0,0,0,,79
,Cash,21,299.04,0,0,0,,299.04
,Other,,,,,,,
,Total,78,1460.32,133.53,0,0.11431090717642726,,1593.85
,,,,,,,,
,Credit Types,,,,,,,
,Amex,1,96.81,10,0,0.08771929824561403,,106.81
,Discover,1,35.1,6.69,0,0.19999999999999998,,41.79
,Mastercard,13,256.31,45.29,0,0.17820184930159355,,301.6
,Visa,30,694.06,71.55,0,0.10401977175256233,,765.61
,,,,,,,,
,Alternate Payment Types,,,,,,,
,,,,,,,,
,,,,,,,Paid In Total,$106.81
,,,,,,,,
Sales Categories,Category,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Breads,20,27,185,31,154,0,
,Breakfast Pastry,37,124,717,325.36,391.64,0,
,Breakfast Sandwiches,10,11,158,14,144,8.64,
,Cakes,,,,,,,
,Catering,,,,,,,
,Coffee Bar,22,28,111.6,2.2,109.4,6.56,
,Cold Drinks,5,6,27.3,2.75,24.55,0,
,Cold Sandwiches,,,,,,,
,"Cookies, Bars & Tarts",15,27,107,2.4,104.6,0,
,Hot Sandwiches,15,21,334,32,302,18.12,
,Holiday Menus,,,,,,,
,Grocery,,,,,,,
,Merchandise,,,,,,,
,Wholesale,,,,,,,
,Salads,,,,,,,
,Red Wine,,,,,,,
,White Wine,,,,,,,
,Beer,,,,,,,
,Spirits,,,,,,,
,Pizza,,,,,,,
,Soup,,,,,,,
,Toasts & Tartines,,,,,,,
,No Category,0,,,,0,0,
,Total,,,1639.9,409.71,1230.19,33.32 $,
,,,,,,,,
Revenue Centers,Revenue Center,Order Count,Item Count,Gross Amt,Discounts,Net,Tax,
,Dining Room,,,,,,,
,Bar,,,,,,,
,Online Ordering,2,8,69,0,69,0.9,
,No Revenue Center,75,236,1570.9,409.71,1161.19,32.42,
,,,,,,,,
Dining Options,Dining Option,Order Count,Net Sales,,,,,
,Dine In,29,488.34,,,,,
,Takeout,50,741.85,,,,,
,,1,0,,,,,
,,,,,,,,
,,,,,,,,
Taxes,Tax,Order Count,Tax Amount,Net Sales,,,,
,Prepared Food,,33.32,555.4,,,,
,Non Taxable,64,,674.79,,,,
,,,,,,,,
Service Charges,Service Charge,Count,Amount,,,,,
,,,,,,,,
,,,,,,,,
Menu Item Discounts,Discount,Count,Amount,,,,,
,$2 Bread Club Baguette,6,12,,,,,
,Rebel Bread,6,19,,,,,
,,,,,,,,
,,,,,,,,
Check Discounts,Discount,Count,Amount,,,,,
,Pastry Waste,1,315,,,,,
,Reward Dollars,2,12.71,,,,,
,Shift Meal,1,51,,,,,
,,,,,,,,
,,,,,,,,
Sales by Service,Service,Orders,Net Sales,,,,,
,Hours,25,$325.85,,,,,
,Dinner,3,$7.00,,,,,
,Lunch,47,$797.34,,,,,
,No Service,5,$100.00,,,,,
,,,,,,,,
,,,,,,,,
Voids,Amount,Order Count,Item Count,Percent,,,,
,$36.00,2,5,2.9%,,,,
,,,,,,,,
,,,,,,,,
Cash Summary,,,,,,,,
,Total Cash Payments,,$299.04,,,,,
,Cash Adjustments,,$21.27,,,,,
,Cash before Tipouts,,$320.31,,,,,
,Cash Gratuity,, -$0.00,,,,,
,Credit / Non-Cash gratuity,, -$0.00,,,,,
,Credit / Non-Cash tips,, -$133.53,,,,,
,Total Cash,,$320.31,,,,,
